id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
129,R129,2954,0,20,170,44
130,R130,2961,2,6,391,55
131,R131,2968,61,6,150,9
132,R132,3200,94,8,150,11
133,R133,2953,141,9,443,36
134,R134,2840,5,8,201,29
135,R135,2545,266,6,218,38
136,R136,3220,339,28,108,46
137,R137,2772,118,17,108,-19
138,R138,2883,328,31,150,85
139,R139,3293,123,8,679,247
140,R140,2768,164,12,30,1
141,R141,3349,203,20,700,204
142,R142,3132,350,12,0,0
143,R143,3090,241,7,612,-58
144,R144,3220,27,22,127,21
145,R145,3366,202,14,457,98
146,R146,3096,329,10,570,42
147,R147,3084,179,18,324,36
148,R148,2875,357,14,765,145
149,R149,2907,203,10,190,38
150,R150,2490,20,19,30,8
151,R151,2790,312,12,182,23
152,R152,2590,38,12,0,0
153,R153,2845,45,30,510,216
154,R154,2986,152,22,977,190
155,R155,3139,280,19,212,27
156,R156,2926,38,15,67,10
157,R157,2896,110,5,108,16
158,R158,2928,27,13,451,35
159,R159,3073,116,23,120,22
160,R160,3285,164,7,781,137
161,R161,3432,305,14,552,63
162,R162,2979,259,31,573,330
163,R163,2896,120,10,218,53
164,R164,2949,187,6,633,53
165,R165,2454,277,18,42,2
166,R166,2731,277,39,180,93
167,R167,3014,296,7,1050,42
168,R168,3325,160,15,800,168
169,R169,3104,287,17,150,45
170,R170,2385,9,13,295,128
171,R171,2900,20,5,313,33
172,R172,3202,104,11,210,42
173,R173,2835,135,10,124,8
174,R174,3235,175,8,297,35
175,R175,3142,50,15,60,10
176,R176,2767,349,8,134,24
177,R177,2838,313,17,481,89
178,R178,3247,289,9,361,59
179,R179,2870,203,6,256,16
180,R180,2771,191,36,212,-5
181,R181,3315,114,16,0,0
182,R182,2999,278,13,228,37
183,R183,2702,72,17,67,5
184,R184,3087,56,24,242,81
185,R185,3231,6,29,212,150
186,R186,2635,179,21,379,107
187,R187,2516,72,18,0,0
188,R188,3230,298,16,391,87
189,R189,3126,74,4,216,11
190,R190,2647,352,26,153,65
191,R191,3076,358,6,180,26
192,R192,3155,351,18,162,42
193,R193,2357,79,20,216,50
194,R194,2899,66,21,706,-28
195,R195,2767,11,10,212,12
196,R196,2118,8,21,210,81
197,R197,2526,294,3,532,267
198,R198,3008,210,17,295,13
199,R199,2390,63,23,124,50
200,R200,3415,143,16,319,177
201,R201,2794,261,9,0,0
202,R202,2671,190,27,361,227
203,R203,3007,160,7,488,88
204,R204,3162,348,20,360,86
205,R205,2986,358,20,850,109
206,R206,3355,221,9,42,6
207,R207,2926,245,10,192,23
208,R208,1942,15,30,240,91
209,R209,2133,320,36,175,96
210,R210,3021,336,3,566,110
211,R211,3188,32,11,638,59
212,R212,2445,348,16,120,13
213,R213,3160,0,14,85,27
214,R214,3023,36,8,108,1
215,R215,2962,143,29,120,40
216,R216,3180,200,24,90,30
217,R217,2874,330,10,95,24
218,R218,2252,264,23,60,21
219,R219,2986,54,6,60,4
220,R220,2812,5,12,360,28
221,R221,3099,322,15,85,-1
222,R222,3098,325,12,540,44
223,R223,3339,120,18,750,116
224,R224,2837,307,10,85,0
225,R225,3131,16,9,242,26
226,R226,2976,61,7,134,16
227,R227,3285,31,1,551,171
228,R228,2841,346,14,541,77
229,R229,2788,21,8,30,1
230,R230,3008,82,5,395,43
231,R231,2411,260,29,30,10
232,R232,2870,287,9,301,103
233,R233,2890,307,9,85,17
234,R234,3208,49,17,470,98
235,R235,2691,261,35,577,313
236,R236,2913,43,18,212,14
237,R237,3193,242,8,42,3
238,R238,3171,219,12,85,0
239,R239,3207,28,26,430,136
240,R240,2162,303,29,95,25
241,R241,2521,42,7,124,13
242,R242,3180,315,11,201,40
243,R243,2917,156,10,234,13
244,R244,2777,55,27,240,105
245,R245,3146,241,17,371,73
246,R246,3259,222,14,690,45
247,R247,3261,347,13,95,18
248,R248,2844,105,21,95,17
249,R249,2798,63,8,150,16
250,R250,3227,287,15,417,26
251,R251,3062,316,16,150,31
252,R252,2864,30,30,537,240
253,R253,2925,8,8,365,71
254,R254,3346,245,16,150,28
255,R255,3153,113,31,240,76
256,R256,3163,16,16,150,34
257,R257,2975,268,16,497,69
258,R258,3206,51,6,268,17
259,R259,3206,24,32,67,43
260,R260,3149,252,9,134,6
261,R261,3168,117,12,216,20
262,R262,2091,347,36,180,69
263,R263,3180,254,15,342,64
264,R264,2944,154,27,30,7
265,R265,2323,320,21,30,15
266,R266,3378,138,14,811,139
267,R267,3212,326,17,175,48
268,R268,3450,96,12,30,7
269,R269,2144,308,32,319,249
270,R270,2422,75,13,85,18
271,R271,3125,14,22,108,30
272,R272,2356,292,27,134,54
273,R273,2757,319,24,170,47
274,R274,3154,34,10,390,46
275,R275,2724,41,9,339,37
276,R276,2755,203,14,30,7
277,R277,2952,269,17,134,31
278,R278,2837,50,17,295,52
279,R279,2926,108,8,175,43
280,R280,3223,252,3,319,28
281,R281,2991,167,15,85,11
282,R282,2888,317,10,30,0
283,R283,3216,101,14,268,51
284,R284,3026,332,14,331,116
285,R285,3090,169,8,256,0
286,R286,2729,194,34,212,110
287,R287,3307,349,8,0,0
288,R288,3157,234,10,242,25
289,R289,2887,28,17,495,98
290,R290,2825,87,4,85,-1
291,R291,2982,60,20,124,31
292,R292,3307,189,12,824,93
293,R293,2985,220,4,60,9
294,R294,2864,0,8,366,40
295,R295,2960,106,3,134,16
296,R296,2941,312,15,67,25
297,R297,2614,17,9,30,0
298,R298,3047,86,4,360,-10
299,R299,2990,312,12,730,-44
300,R300,2571,164,31,547,163
301,R301,3077,241,12,382,43
302,R302,2864,157,12,108,12
303,R303,3292,96,5,488,49
304,R304,2941,93,5,30,3
305,R305,2967,130,8,42,5
306,R306,3020,342,19,108,29
307,R307,2867,81,17,190,51
308,R308,2969,7,16,190,41
309,R309,3116,69,8,313,38
310,R310,2890,139,9,362,37
311,R311,2885,132,12,247,-1
312,R312,3195,320,12,210,30
313,R313,2965,320,8,192,33
314,R314,2947,265,25,900,570
315,R315,2786,31,11,323,18
316,R316,2997,280,5,408,104
317,R317,2764,91,39,234,145
318,R318,3292,142,14,488,69
319,R319,3409,200,11,1052,60
320,R320,2896,278,29,228,53
321,R321,3085,327,8,67,-2
322,R322,3259,298,39,192,35
323,R323,3290,274,11,301,41
324,R324,2949,74,16,30,8
325,R325,3136,115,29,272,94
326,R326,2991,15,13,182,-15
327,R327,3252,129,13,420,65
328,R328,3018,22,8,437,46
329,R329,2648,347,11,170,41
330,R330,3123,10,7,216,15
331,R331,2834,66,18,108,32
332,R332,3016,43,23,351,107
333,R333,3049,324,10,60,-2
334,R334,2731,153,12,175,43
335,R335,3300,201,8,594,85
336,R336,2997,254,10,234,93
337,R337,3083,268,26,480,172
338,R338,2967,17,6,0,0
339,R339,2955,5,9,67,6
340,R340,3144,25,17,240,-30
341,R341,3216,38,3,0,0
342,R342,2727,36,15,42,0
343,R343,2677,352,18,42,10
344,R344,2943,190,13,60,-1
345,R345,3269,143,19,443,97
346,R346,2511,340,13,242,44
347,R347,2854,314,14,42,-2
348,R348,3024,211,15,95,-6
349,R349,2967,103,5,360,22
350,R350,3244,159,4,127,4
351,R351,2650,51,7,108,-1
352,R352,2844,115,10,108,8
353,R353,3041,17,9,510,7
354,R354,2986,5,12,30,4
355,R355,3097,207,11,382,89
356,R356,2751,159,28,300,132
357,R357,2925,58,17,67,7
358,R358,2805,215,11,95,7
359,R359,2885,199,25,255,113
360,R360,2913,85,21,331,108
361,R361,2892,103,12,42,4
362,R362,2317,150,8,150,42
363,R363,3027,295,4,342,7
364,R364,3234,120,4,60,-2
365,R365,2846,347,9,150,23
366,R366,3399,114,23,240,36
367,R367,3163,208,11,201,27
368,R368,3126,358,6,90,11
369,R369,3286,315,1,499,34
370,R370,3207,195,17,418,49
371,R371,2835,20,26,247,41
372,R372,2753,64,12,30,-3
373,R373,3181,148,14,85,16
374,R374,2727,103,11,30,-7
375,R375,2887,356,18,256,74
376,R376,2742,100,4,124,15
377,R377,3170,148,15,95,-39
378,R378,3347,27,22,437,132
379,R379,3027,1,19,190,32
380,R380,2911,76,8,162,20
381,R381,3198,281,14,90,26
382,R382,3064,273,13,541,67
383,R383,3243,103,4,0,0
384,R384,3285,269,18,1041,364
385,R385,3130,47,20,283,71
386,R386,3529,28,19,601,117
387,R387,3338,73,29,331,131
388,R388,2531,29,23,283,88
389,R389,3021,200,5,849,102
390,R390,3097,86,6,42,5
391,R391,3265,82,17,134,4
392,R392,2955,81,11,0,0
393,R393,3113,62,10,67,7
394,R394,3028,223,27,162,31
395,R395,2781,119,23,234,95
396,R396,3264,83,4,283,12
397,R397,3017,99,11,60,-7
398,R398,2966,67,14,30,-1
399,R399,2918,351,12,67,11
400,R400,3179,86,11,300,38
401,R401,2812,43,21,120,24
402,R402,2965,90,10,450,72
403,R403,3328,183,21,85,22
404,R404,2726,97,8,108,31
405,R405,2783,278,2,323,11
406,R406,2974,218,11,277,79
407,R407,3657,121,22,966,402
408,R408,2956,81,24,510,132
409,R409,2907,143,7,268,28
410,R410,2741,195,16,90,5
411,R411,3177,17,14,430,52
412,R412,2979,323,12,67,8
413,R413,2959,53,9,342,10
414,R414,3106,53,7,0,0
415,R415,3146,122,15,324,17
416,R416,3278,95,17,210,-19
417,R417,3032,87,15,85,16
418,R418,3211,99,15,268,48
419,R419,2488,14,9,190,26
420,R420,3134,8,9,247,26
421,R421,2786,138,14,234,91
422,R422,3254,114,10,564,121
423,R423,2331,70,24,297,25
424,R424,2962,221,16,180,76
425,R425,3059,39,12,648,-15
426,R426,2727,92,13,150,27
427,R427,3054,15,3,592,191
428,R428,2592,258,26,402,-7
429,R429,2940,19,16,324,-22
430,R430,3231,291,12,256,60
431,R431,2617,171,29,90,40
432,R432,3030,324,15,720,109
433,R433,2853,283,17,60,14
434,R434,2657,132,7,319,23
435,R435,2808,83,15,0,0
436,R436,3158,311,10,324,51
437,R437,3054,63,5,323,30
438,R438,3293,213,8,433,97
439,R439,2901,60,8,30,0
440,R440,2250,319,29,85,44
441,R441,3176,82,32,531,125
442,R442,3249,24,14,360,46
443,R443,3169,280,20,242,6
444,R444,3131,2,16,361,85
445,R445,3010,324,14,433,100
446,R446,3230,25,27,470,155
447,R447,3183,29,7,564,17
448,R448,3013,345,24,366,46
449,R449,3437,38,18,511,88
450,R450,3154,13,5,470,58
451,R451,3166,114,9,391,34
452,R452,2697,99,13,150,17
453,R453,3223,305,8,190,23
454,R454,3344,73,15,459,117
455,R455,3267,0,11,216,26
456,R456,2390,111,14,255,99
457,R457,2831,100,12,90,2
458,R458,2717,343,5,234,13
459,R459,3368,96,25,150,56
460,R460,3229,61,23,510,133
461,R461,3146,24,15,67,-2
462,R462,3118,19,20,992,249
463,R463,3168,80,8,277,26
464,R464,2150,178,21,67,22
465,R465,2290,43,12,0,0
466,R466,3215,153,14,469,113
467,R467,2811,8,2,395,1
468,R468,3164,40,29,660,283
469,R469,2715,120,4,247,26
470,R470,2890,65,15,42,4
471,R471,2640,300,10,120,16
472,R472,3438,86,25,175,41
473,R473,2644,38,14,201,30
474,R474,3086,294,20,725,316
475,R475,2978,84,13,258,32
476,R476,3258,89,10,124,12
477,R477,2769,10,23,319,155
478,R478,2918,304,18,150,52
479,R479,3292,216,6,395,97
480,R480,3194,125,18,175,13
481,R481,3034,239,10,60,5
482,R482,2986,311,9,30,9
483,R483,3069,157,15,120,-19
484,R484,2958,5,14,120,44
485,R485,2750,355,13,108,28
486,R486,2158,333,19,234,36
487,R487,2722,100,9,95,9
488,R488,2873,335,10,283,65
489,R489,3072,259,13,170,30
490,R490,3426,290,21,636,220
491,R491,2779,72,7,240,103
492,R492,3043,193,11,67,5
493,R493,3132,7,6,300,47
494,R494,3162,3,16,648,-28
495,R495,3380,96,9,446,154
496,R496,2950,145,8,430,33
497,R497,2866,152,6,0,0
498,R498,2834,66,17,371,124
499,R499,2475,80,13,124,32
500,R500,2726,162,5,330,37
501,R501,2424,38,29,127,41
502,R502,3053,15,21,918,184
503,R503,3236,272,5,108,12
504,R504,3172,119,12,95,15
505,R505,3088,275,8,95,8
506,R506,2809,153,20,212,80
507,R507,2665,48,25,150,23
508,R508,3221,347,16,212,47
509,R509,3295,326,9,60,15
510,R510,2882,335,15,331,84
511,R511,2890,11,1,242,10
512,R512,3062,45,17,841,-12
513,R513,2904,336,14,277,49
514,R514,3153,34,13,351,83
515,R515,3216,357,14,283,-1
516,R516,3030,146,17,170,32
517,R517,3135,20,24,242,58
518,R518,3245,342,3,480,-28
519,R519,2727,51,13,67,11
520,R520,2860,58,4,547,61
521,R521,3376,1,12,283,44
522,R522,2850,58,9,30,-1
523,R523,3161,174,29,277,79
524,R524,3392,243,20,579,14
525,R525,3126,226,17,825,150
526,R526,2687,210,25,42,19
527,R527,2887,210,19,30,6
528,R528,2919,338,3,0,0
529,R529,2775,123,34,85,33
530,R530,2764,50,20,283,-3
531,R531,3381,140,7,210,42
532,R532,3279,6,18,242,95
533,R533,2956,253,12,726,330
534,R534,3107,216,15,272,31
535,R535,2938,137,12,175,36
536,R536,3125,49,9,95,16
537,R537,2896,356,19,525,190
538,R538,2877,257,20,150,31
539,R539,3257,37,15,150,24
540,R540,2651,170,5,0,0
541,R541,3090,50,24,655,181
542,R542,2965,118,15,120,6
543,R543,2829,121,23,124,78
544,R544,2951,341,12,240,30
545,R545,3118,171,7,108,5
546,R546,2789,30,9,85,-7
547,R547,3087,330,15,190,46
548,R548,2471,341,28,531,258
549,R549,2205,192,22,134,69
550,R550,3169,68,8,0,0
551,R551,2584,17,20,134,36
552,R552,2216,342,14,42,5
553,R553,3028,103,19,30,1
554,R554,3399,96,14,459,121
555,R555,3031,234,15,630,40
556,R556,3020,306,10,573,-48
557,R557,3305,119,32,277,79
558,R558,3053,59,26,85,11
559,R559,3311,50,16,124,41
560,R560,3352,299,21,684,172
561,R561,2830,31,25,421,125
562,R562,2935,53,22,295,54
563,R563,3156,149,7,67,-2
564,R564,3120,27,13,30,6
565,R565,2578,84,15,85,15
566,R566,2947,214,10,90,10
567,R567,2396,33,27,90,37
568,R568,2749,315,15,60,22
569,R569,2694,181,35,175,79
570,R570,3109,321,9,153,9
571,R571,3100,305,13,60,3
572,R572,2899,232,15,170,50
573,R573,3121,32,9,342,40
574,R574,2670,23,7,120,0
575,R575,3223,193,15,626,9
576,R576,3042,264,10,42,0
577,R577,2975,82,9,371,21
578,R578,3109,61,8,95,16
579,R579,3070,165,11,297,42
580,R580,3063,135,8,404,0
581,R581,3080,316,13,335,-32
582,R582,2586,113,9,0,0
583,R583,2982,77,23,0,0
584,R584,2956,80,17,85,18
585,R585,3287,36,13,277,93
586,R586,3258,45,19,451,7
587,R587,2701,117,12,42,4
588,R588,3185,328,16,127,13
589,R589,2585,132,11,421,57
590,R590,2874,7,15,190,34
591,R591,3021,77,8,201,41
592,R592,2547,83,24,67,23
593,R593,3379,180,0,175,37
594,R594,2737,90,9,182,39
595,R595,3205,164,3,108,6
596,R596,2227,300,25,60,28
597,R597,2960,36,13,285,-12
598,R598,3010,309,10,350,33
599,R599,3099,111,12,150,-1
600,R600,2760,82,28,85,29
601,R601,2844,344,29,134,82
602,R602,3214,54,12,417,6
603,R603,2844,355,11,573,77
604,R604,2754,66,16,150,22
605,R605,3457,322,3,750,-35
606,R606,2766,55,17,30,6
607,R607,3292,347,3,360,27
608,R608,2507,74,10,216,31
609,R609,3060,20,18,582,-12
610,R610,2963,225,15,306,29
611,R611,2439,306,24,339,4
612,R612,3394,335,26,339,14
613,R613,1929,0,33,162,77
614,R614,3108,105,7,150,30
615,R615,3025,67,12,90,-14
616,R616,2770,357,21,190,114
617,R617,3427,67,14,95,18
618,R618,3103,127,17,420,48
619,R619,3132,89,17,301,86
620,R620,3273,94,28,108,27
621,R621,3146,54,20,30,10
622,R622,2824,18,12,42,4
623,R623,2405,45,10,42,8
624,R624,2795,19,18,272,8
625,R625,3111,43,11,67,2
626,R626,3069,104,4,277,10
627,R627,3056,52,11,361,67
628,R628,3050,357,5,228,27
629,R629,2908,38,13,277,98
630,R630,3168,34,5,272,29
631,R631,3222,180,34,360,99
632,R632,3184,21,6,42,-2
633,R633,3040,18,7,30,3
634,R634,2873,113,4,319,111
635,R635,2741,126,6,90,-3
636,R636,3165,23,15,492,147
637,R637,2906,217,5,127,19
638,R638,3018,43,11,0,0
639,R639,2898,349,16,85,11
640,R640,2834,45,5,180,-2
641,R641,3136,35,8,362,20
642,R642,2562,156,16,182,24
643,R643,3034,34,5,443,54
644,R644,2935,105,18,108,34
645,R645,2995,116,7,604,86
646,R646,2798,93,12,85,11
647,R647,3151,142,13,780,110
648,R648,3244,154,7,721,69
649,R649,3434,335,22,30,14
650,R650,3363,288,9,782,106
651,R651,3120,17,13,67,8
652,R652,2216,345,37,120,72
653,R653,3347,325,10,180,21
654,R654,2950,318,18,228,35
655,R655,2788,3,13,30,0
656,R656,3024,84,6,446,23
657,R657,3524,64,7,426,110
658,R658,2440,178,17,454,97
659,R659,3070,45,1,150,3
660,R660,3064,0,9,150,24
661,R661,3029,8,5,42,1
662,R662,2690,102,23,190,75
663,R663,3132,5,15,552,55
664,R664,2482,167,9,532,132
665,R665,3217,34,12,277,29
666,R666,2506,137,10,134,24
667,R667,2977,50,11,67,0
668,R668,2911,233,12,420,47
669,R669,2872,31,6,319,54
670,R670,2868,334,9,42,8
671,R671,3304,259,6,60,5
672,R672,3034,79,11,351,-9
673,R673,2920,136,16,170,39
674,R674,2872,50,4,371,60
675,R675,2912,295,15,30,9
676,R676,3207,270,2,201,17
677,R677,3064,52,13,30,11
678,R678,3486,101,15,837,201
679,R679,2939,218,11,283,23
680,R680,3109,13,16,607,-3
681,R681,2811,126,12,335,40
682,R682,2530,210,15,175,70
683,R683,2727,353,25,124,18
684,R684,3157,39,6,277,18
685,R685,3401,84,18,402,119
686,R686,2454,298,21,150,68
687,R687,3051,119,20,170,35
688,R688,3118,40,7,108,9
689,R689,2960,203,5,751,-60
690,R690,3303,162,11,451,115
691,R691,3286,108,20,417,105
692,R692,2234,50,36,162,52
693,R693,2614,22,23,67,14
694,R694,3364,84,7,511,79
695,R695,3217,62,22,182,37
696,R696,3245,20,9,350,47
697,R697,2927,135,4,124,21
698,R698,2775,51,16,256,62
699,R699,2716,322,18,95,32
700,R700,2921,93,10,212,17
701,R701,2889,22,13,474,91
702,R702,2834,75,19,212,58
703,R703,3046,327,14,256,-8
704,R704,3230,38,5,60,-4
705,R705,2647,66,15,0,0
706,R706,2550,169,15,42,10
707,R707,3063,353,19,361,204
708,R708,3371,141,7,268,48
709,R709,3191,268,5,361,15
710,R710,3305,147,37,127,76
711,R711,3173,315,3,30,1
712,R712,2834,73,25,300,21
713,R713,3013,12,9,30,5
714,R714,3116,183,15,297,46
715,R715,2837,90,1,30,-2
716,R716,2633,128,11,0,0
717,R717,3247,174,21,618,56
718,R718,2962,177,9,240,7
719,R719,3341,224,23,743,119
720,R720,3186,28,14,569,91
721,R721,2672,304,16,330,2
722,R722,3004,127,5,810,78
723,R723,2929,257,16,175,-1
724,R724,2994,112,17,175,52
725,R725,3189,128,8,60,7
726,R726,3257,91,11,618,124
727,R727,2443,8,13,120,4
728,R728,3097,68,27,663,-77
729,R729,2991,15,7,242,16
730,R730,3081,88,11,162,32
731,R731,2701,167,17,42,8
732,R732,3093,152,22,218,78
733,R733,3044,197,13,837,10
734,R734,3176,14,22,67,18
735,R735,3427,101,7,633,-65
736,R736,2899,156,14,218,54
737,R737,2853,90,7,134,30
738,R738,2806,96,4,518,18
739,R739,2958,40,15,234,54
740,R740,2276,36,6,0,0
741,R741,2621,348,26,120,51
742,R742,3037,35,13,134,42
743,R743,3006,70,10,67,-1
744,R744,3027,6,12,85,14
745,R745,2904,63,22,543,137
746,R746,3162,342,12,67,12
747,R747,2840,121,15,150,49
748,R748,2831,102,18,242,106
749,R749,3083,108,18,162,46
750,R750,2669,347,13,30,6
751,R751,2767,68,5,255,7
752,R752,3384,177,5,858,209
753,R753,3202,59,11,42,-11
754,R754,2995,78,11,376,56
755,R755,3023,326,9,60,11
756,R756,2942,38,11,175,-9
757,R757,2950,58,3,361,21
758,R758,2519,28,29,216,49
759,R759,2223,321,30,42,20
760,R760,3366,347,13,371,84
761,R761,3068,57,7,0,0
762,R762,2368,29,9,459,216
763,R763,2722,73,9,430,-24
764,R764,2122,204,31,247,105
765,R765,3262,71,15,426,93
766,R766,2548,71,21,67,10
767,R767,2520,227,23,404,-79
768,R768,3070,180,8,0,0
769,R769,3152,100,5,616,105
770,R770,3201,7,10,430,66
771,R771,2954,264,25,216,64
772,R772,2991,272,6,700,124
773,R773,3212,96,19,295,-2
774,R774,3080,278,7,60,5
775,R775,2748,348,7,443,101
776,R776,3175,27,13,162,8
777,R777,2892,29,12,268,46
778,R778,2976,60,5,120,1
779,R779,2913,81,12,418,134
780,R780,3003,135,1,0,0
781,R781,2874,129,22,30,7
782,R782,2474,194,27,162,67
783,R783,2902,12,22,127,23
784,R784,2373,192,15,0,0
785,R785,2817,315,16,190,44
786,R786,3043,276,5,485,98
787,R787,3074,76,9,30,3
788,R788,2978,346,10,541,151
789,R789,2663,31,14,240,29
790,R790,2576,94,6,124,-5
791,R791,3056,291,8,30,6
792,R792,2896,356,12,499,26
793,R793,2666,29,8,283,0
794,R794,3275,98,19,234,61
795,R795,3202,21,12,30,3
796,R796,2785,40,14,120,17
797,R797,2679,68,32,67,25
798,R798,2648,215,18,256,50
799,R799,3406,331,31,30,9
800,R800,3206,29,2,825,62
801,R801,2540,213,37,175,102
802,R802,3064,108,32,134,32
803,R803,2444,303,26,301,183
804,R804,2827,74,31,90,-55
805,R805,2973,111,16,342,59
806,R806,3175,297,22,300,115
807,R807,3340,141,13,402,49
808,R808,2985,270,12,569,87
809,R809,3329,63,13,300,7
810,R810,2643,246,6,30,-3
811,R811,2915,37,12,488,-29
812,R812,3199,202,8,242,-7
813,R813,2822,72,13,330,71
814,R814,2803,325,13,150,34
815,R815,2687,99,5,150,29
816,R816,3381,291,8,180,32
817,R817,3055,308,25,170,12
818,R818,2727,89,33,134,78
819,R819,3293,333,8,532,18
820,R820,3024,179,13,272,55
821,R821,2317,310,22,30,3
822,R822,3204,318,20,430,38
823,R823,2939,83,8,234,17
824,R824,2925,214,7,124,31
825,R825,3112,338,8,95,5
826,R826,3251,322,8,150,26
827,R827,2712,18,6,335,4
828,R828,3078,124,26,175,48
829,R829,2911,102,11,175,37
830,R830,3273,248,13,60,0
831,R831,3182,252,19,577,90
832,R832,3015,45,1,30,0
833,R833,3071,52,22,339,61
834,R834,2535,75,21,153,45
835,R835,2779,335,17,124,28
836,R836,3277,141,19,458,96
837,R837,3205,269,15,376,57
838,R838,3384,54,4,624,56
839,R839,2242,44,14,454,112
840,R840,2902,75,11,180,29
841,R841,2865,156,8,666,135
842,R842,2945,39,16,30,1
843,R843,2675,356,4,30,4
844,R844,3128,342,5,242,16
845,R845,2873,352,21,120,9
846,R846,2493,206,33,120,63
847,R847,2994,297,12,180,55
848,R848,2854,314,31,210,84
849,R849,2903,347,9,390,231
850,R850,3053,122,18,30,9
851,R851,2735,38,14,0,0
852,R852,3195,24,16,247,9
853,R853,2636,241,17,90,19
854,R854,2770,341,16,319,50
855,R855,3098,45,7,42,-1
856,R856,2680,63,11,295,34
857,R857,2931,330,17,150,14
858,R858,2788,110,6,0,0
859,R859,2852,127,12,67,14
860,R860,3102,20,31,201,31
861,R861,2829,112,9,0,0
862,R862,2970,259,2,324,28
863,R863,2693,155,10,153,24
