id,label,Elevation,Aspect,Slope
282,R282,3001,209,6
283,R283,2621,207,11
284,R284,2963,52,10
285,R285,2559,169,22
286,R286,2341,324,22
287,R287,2954,44,25
288,R288,3224,297,4
289,R289,2831,147,17
290,R290,3146,197,6
291,R291,2921,119,38
292,R292,3317,109,19
293,R293,3211,302,12
294,R294,2823,1,12
295,R295,2649,182,13
296,R296,2666,49,17
297,R297,2988,78,14
298,R298,2409,10,19
299,R299,2926,50,12
300,R300,3024,26,20
301,R301,3116,27,12
302,R302,3286,190,12
303,R303,2693,140,29
304,R304,3031,0,12
305,R305,3027,79,4
306,R306,3225,252,9
307,R307,2913,49,17
308,R308,3239,121,7
309,R309,3007,147,14
310,R310,3162,348,14
311,R311,3226,315,6
312,R312,2958,358,7
313,R313,2391,304,14
314,R314,2284,351,5
315,R315,2853,286,14
316,R316,3420,147,19
317,R317,2435,320,16
318,R318,3058,97,12
319,R319,2740,100,15
320,R320,2790,125,4
321,R321,3332,229,22
322,R322,3004,295,22
323,R323,3242,133,11
324,R324,2991,90,9
325,R325,3004,27,3
326,R326,3200,20,12
327,R327,3312,21,13
328,R328,2695,98,14
329,R329,3017,65,28
330,R330,2822,84,11
331,R331,2215,316,29
332,R332,3050,325,6
333,R333,3189,113,2
334,R334,2972,67,12
335,R335,2850,45,15
336,R336,2901,97,13
337,R337,2739,43,10
338,R338,3026,265,9
339,R339,2096,42,28
340,R340,2836,97,18
341,R341,2918,281,15
342,R342,3080,27,4
343,R343,3105,24,5
344,R344,2801,268,27
345,R345,2964,215,19
346,R346,3122,301,26
347,R347,3066,157,13
348,R348,3311,320,14
349,R349,2419,187,31
350,R350,3284,44,16
351,R351,2650,5,25
352,R352,3159,315,9
353,R353,3008,14,8
354,R354,3313,287,41
355,R355,2932,73,18
356,R356,2927,104,18
357,R357,2733,103,10
358,R358,3297,317,24
359,R359,2989,151,10
360,R360,2838,225,8
361,R361,2582,173,21
362,R362,2834,90,18
363,R363,2865,24,23
364,R364,3206,287,19
365,R365,2556,318,12
366,R366,3287,40,16
367,R367,3315,301,24
368,R368,3024,192,16
369,R369,3039,323,35
370,R370,2954,294,13
371,R371,2949,149,13
372,R372,2866,65,23
373,R373,2594,111,7
374,R374,2097,346,24
375,R375,2355,246,19
376,R376,2871,225,12
377,R377,3034,58,15
378,R378,1948,129,12
379,R379,3118,252,20
380,R380,3276,166,16
381,R381,2895,141,29
382,R382,3034,67,15
383,R383,2979,314,20
384,R384,3259,304,7
385,R385,2752,61,24
386,R386,2973,220,16
387,R387,3169,75,7
388,R388,3065,90,13
389,R389,2372,233,17
390,R390,2245,127,18
391,R391,3080,90,7
392,R392,3011,344,15
393,R393,2402,63,15
394,R394,2954,286,6
395,R395,3218,67,7
396,R396,3268,85,10
397,R397,3176,286,17
398,R398,2788,17,15
399,R399,2636,31,19
400,R400,3060,171,10
401,R401,2761,329,8
402,R402,2370,333,11
403,R403,2829,129,13
404,R404,2612,52,14
405,R405,3010,299,24
406,R406,3111,81,11
407,R407,3282,134,18
408,R408,2708,107,33
409,R409,2778,53,16
410,R410,2545,85,38
411,R411,3027,76,10
412,R412,2868,233,23
413,R413,2866,258,35
414,R414,3438,236,30
415,R415,2877,302,17
416,R416,3226,347,5
417,R417,3105,130,26
418,R418,2787,11,24
419,R419,3186,179,10
420,R420,2960,108,22
421,R421,2697,174,7
422,R422,3077,19,9
423,R423,3263,287,14
424,R424,3297,31,11
425,R425,2461,143,16
426,R426,3266,9,19
427,R427,3215,312,7
428,R428,3268,9,5
429,R429,3305,185,20
430,R430,3386,287,7
431,R431,3221,70,11
432,R432,2831,78,13
433,R433,2865,151,22
434,R434,3163,56,19
435,R435,2337,323,22
436,R436,2718,346,17
437,R437,2559,172,21
438,R438,2856,145,9
439,R439,2762,325,25
440,R440,2810,109,30
441,R441,3059,25,15
442,R442,3191,157,6
443,R443,2855,143,17
444,R444,3099,127,7
445,R445,3050,346,9
446,R446,3225,121,15
447,R447,3243,1,11
448,R448,3298,268,23
449,R449,2594,81,11
450,R450,3225,21,13
451,R451,2949,24,6
452,R452,3273,21,13
453,R453,3088,45,7
454,R454,2827,219,24
455,R455,2830,141,13
456,R456,3003,114,9
457,R457,2846,88,11
458,R458,2983,52,11
459,R459,2800,79,15
460,R460,2904,16,4
461,R461,2786,27,25
462,R462,3295,207,8
463,R463,3097,331,21
464,R464,2972,90,1
465,R465,2808,267,19
466,R466,2459,358,6
467,R467,2719,6,13
468,R468,3249,45,18
469,R469,2563,14,8
470,R470,2894,83,17
471,R471,2359,354,20
472,R472,3151,21,19
473,R473,2915,18,11
474,R474,2022,189,20
475,R475,2785,270,28
476,R476,3031,167,16
477,R477,3198,39,16
478,R478,2136,151,25
479,R479,2760,169,29
480,R480,3259,118,5
481,R481,2898,340,12
482,R482,2600,1,19
483,R483,2727,14,2
484,R484,2795,90,9
485,R485,3500,24,18
486,R486,3263,133,13
487,R487,3017,120,33
488,R488,2849,31,12
489,R489,3060,333,12
490,R490,3245,290,17
491,R491,2641,359,12
492,R492,3106,59,4
493,R493,2432,32,10
494,R494,2951,357,33
495,R495,2737,351,22
496,R496,2775,306,4
497,R497,2869,1,10
498,R498,3261,137,8
499,R499,3176,328,7
500,R500,2705,126,19
501,R501,3316,54,8
502,R502,2900,318,27
503,R503,2114,146,42
504,R504,3070,104,14
505,R505,3152,319,16
506,R506,2922,23,6
507,R507,3016,180,12
508,R508,3003,63,3
509,R509,2915,105,8
510,R510,2764,275,23
511,R511,3178,20,12
512,R512,2980,207,4
513,R513,2980,216,8
514,R514,2690,73,9
515,R515,3113,219,20
516,R516,2305,160,28
517,R517,2999,20,26
518,R518,3135,21,7
519,R519,2812,119,22
520,R520,2687,42,7
521,R521,3021,52,11
522,R522,2759,228,26
523,R523,2733,135,15
524,R524,2634,138,12
525,R525,3107,78,18
526,R526,3070,225,14
527,R527,2384,357,32
528,R528,3032,21,7
529,R529,3174,338,7
530,R530,2824,0,6
531,R531,2591,78,10
532,R532,3716,336,8
533,R533,3280,94,12
534,R534,3447,105,19
535,R535,2982,27,2
536,R536,3048,277,10
537,R537,3341,46,15
538,R538,2252,196,32
539,R539,3206,70,6
540,R540,3261,94,8
541,R541,2828,337,14
542,R542,3198,253,20
543,R543,2407,273,29
544,R544,2994,260,11
545,R545,3034,264,19
546,R546,2905,26,15
547,R547,2958,36,17
548,R548,3185,229,5
549,R549,3102,81,6
550,R550,2908,69,13
551,R551,2821,253,6
552,R552,3336,204,24
553,R553,2318,75,14
554,R554,2821,263,25
555,R555,3337,246,10
556,R556,3160,198,6
557,R557,3111,306,26
558,R558,3269,176,13
559,R559,3165,100,15
560,R560,2968,99,6
561,R561,3001,297,11
562,R562,3147,60,19
563,R563,3449,94,22
564,R564,3200,199,21
565,R565,2606,85,9
566,R566,2812,150,23
567,R567,3378,42,17
568,R568,3335,45,11
569,R569,2578,79,17
570,R570,2589,118,13
571,R571,2926,340,6
572,R572,3249,23,5
573,R573,2980,52,16
574,R574,3216,192,13
575,R575,3018,143,12
576,R576,2965,242,11
577,R577,3270,20,8
578,R578,2974,264,18
579,R579,2836,21,12
580,R580,2763,346,37
581,R581,3196,90,4
582,R582,3255,100,7
583,R583,2808,225,3
584,R584,2958,137,8
585,R585,2797,115,26
586,R586,2956,236,26
587,R587,3371,280,24
588,R588,2870,11,7
589,R589,3044,57,16
590,R590,2928,114,6
591,R591,3063,103,4
592,R592,3289,352,13
593,R593,2126,349,27
594,R594,2314,343,5
595,R595,2610,124,21
596,R596,2834,351,10
597,R597,2855,6,2
598,R598,2298,111,16
599,R599,2994,81,13
600,R600,3233,142,12
601,R601,3792,7,17
602,R602,2870,108,18
603,R603,2579,326,20
604,R604,2617,120,17
605,R605,2949,59,14
606,R606,2791,291,30
607,R607,3120,0,7
608,R608,2577,148,26
609,R609,2924,96,13
610,R610,3237,98,7
611,R611,2855,105,14
612,R612,2919,121,18
613,R613,3288,195,7
614,R614,2983,104,11
615,R615,2662,231,33
616,R616,3120,13,16
617,R617,3161,134,20
618,R618,3297,156,15
619,R619,3121,260,12
620,R620,2722,57,10
621,R621,3237,258,7
622,R622,3132,59,11
623,R623,2761,17,10
624,R624,3154,315,11
625,R625,2968,79,17
626,R626,2954,353,13
627,R627,3145,167,3
628,R628,2856,52,18
629,R629,3355,109,13
630,R630,3367,207,11
631,R631,3172,158,30
632,R632,3067,27,7
633,R633,3137,72,6
634,R634,3055,293,6
635,R635,2653,72,21
636,R636,2991,346,8
637,R637,2571,312,13
638,R638,3299,72,21
639,R639,2916,173,13
640,R640,2984,7,6
641,R641,2499,0,3
642,R642,2547,83,24
643,R643,2889,158,22
644,R644,3224,207,8
645,R645,3221,291,13
646,R646,2771,52,17
647,R647,3309,67,13
648,R648,2945,10,4
649,R649,3266,141,20
650,R650,2965,49,13
651,R651,3418,147,17
652,R652,2919,69,12
653,R653,2649,5,13
654,R654,3105,159,11
655,R655,2977,49,14
656,R656,2659,23,12
657,R657,2451,121,21
658,R658,3075,36,11
659,R659,2920,103,18
660,R660,2615,124,19
661,R661,3248,63,17
662,R662,3057,354,10
663,R663,2603,79,10
664,R664,2513,110,15
665,R665,3372,332,16
666,R666,3177,163,19
667,R667,3202,180,6
668,R668,2857,6,4
669,R669,3180,341,18
670,R670,3435,336,9
671,R671,2945,240,9
672,R672,3286,359,10
673,R673,3327,168,12
674,R674,3221,152,16
675,R675,2674,330,25
676,R676,3382,227,29
677,R677,3298,83,10
678,R678,3190,284,33
679,R679,3141,196,6
680,R680,2750,33,10
681,R681,2972,108,3
682,R682,2547,74,8
683,R683,2506,349,25
684,R684,2544,60,22
685,R685,2942,310,8
686,R686,3132,232,8
687,R687,2448,287,9
688,R688,2845,354,5
689,R689,3043,37,14
690,R690,2642,315,4
691,R691,3134,27,2
692,R692,3068,122,10
693,R693,2765,197,35
694,R694,2257,315,26
695,R695,3283,0,10
696,R696,3278,326,3
697,R697,2941,70,7
698,R698,2375,104,18
699,R699,3173,158,23
700,R700,2945,261,28
701,R701,2849,103,15
702,R702,3134,326,5
703,R703,3067,293,25
704,R704,2939,250,13
705,R705,2922,163,29
706,R706,3256,41,10
707,R707,2901,77,20
708,R708,3010,92,24
709,R709,3136,333,8
710,R710,3423,83,15
711,R711,2580,148,11
712,R712,3373,276,2
713,R713,3071,46,22
714,R714,2985,247,14
715,R715,3011,111,21
716,R716,3069,280,16
717,R717,2551,41,15
718,R718,2996,82,9
719,R719,2893,299,29
720,R720,2546,194,8
721,R721,2748,186,23
722,R722,2897,93,22
723,R723,2523,315,29
724,R724,3008,252,18
725,R725,2987,15,3
726,R726,3218,45,5
727,R727,3108,200,18
728,R728,3273,341,9
729,R729,2768,288,14
730,R730,2985,198,23
731,R731,2238,328,18
732,R732,2954,258,22
733,R733,3068,77,8
734,R734,2121,37,21
735,R735,3289,117,18
736,R736,2987,341,9
737,R737,3294,305,11
738,R738,2792,154,17
739,R739,2758,47,11
740,R740,3188,16,17
741,R741,2913,133,24
742,R742,2589,243,13
743,R743,3266,225,7
744,R744,3136,299,12
745,R745,2726,98,22
746,R746,2890,46,31
747,R747,2231,323,41
748,R748,3361,185,11
749,R749,3294,216,11
750,R750,2959,123,15
751,R751,3018,72,1
752,R752,3234,229,18
753,R753,2928,17,20
754,R754,3065,38,13
755,R755,2886,240,18
756,R756,2902,135,12
757,R757,3121,64,9
758,R758,3132,320,4
759,R759,2771,37,16
760,R760,2724,70,32
761,R761,3336,58,21
762,R762,3338,348,18
763,R763,2709,22,11
764,R764,2924,84,5
765,R765,3086,300,9
766,R766,3217,39,20
767,R767,3233,46,13
768,R768,2828,56,17
769,R769,3259,41,13
770,R770,3152,45,8
771,R771,2787,336,20
772,R772,2810,48,14
773,R773,2872,346,12
774,R774,2851,279,22
775,R775,2945,17,13
776,R776,2911,292,7
777,R777,3144,319,19
778,R778,2761,274,4
779,R779,3277,256,17
780,R780,2947,277,26
781,R781,2728,53,12
782,R782,2893,219,17
783,R783,3260,87,9
784,R784,2705,18,23
785,R785,2853,232,20
786,R786,2813,15,25
787,R787,2922,184,10
788,R788,2830,24,13
789,R789,2476,145,26
790,R790,3008,89,16
791,R791,2865,300,9
792,R792,2872,166,9
793,R793,2180,55,23
794,R794,3191,87,16
795,R795,3142,198,10
796,R796,2476,115,14
797,R797,3041,13,16
798,R798,2405,188,12
799,R799,2916,79,7
800,R800,3268,64,27
801,R801,3071,63,5
802,R802,3256,6,9
803,R803,3201,50,7
804,R804,3305,311,14
805,R805,3246,275,25
806,R806,3008,294,6
807,R807,3204,7,15
808,R808,2962,50,11
809,R809,2582,9,25
810,R810,3138,98,7
811,R811,3016,324,2
812,R812,2883,90,5
813,R813,2869,88,14
814,R814,2938,109,9
815,R815,2965,277,6
816,R816,2947,70,21
817,R817,3224,352,2
818,R818,2944,120,9
819,R819,3195,63,16
820,R820,2807,327,13
821,R821,3055,20,6
822,R822,3267,214,7
823,R823,3696,333,6
824,R824,2961,248,15
825,R825,2852,351,14
826,R826,3023,323,17
827,R827,2585,88,38
828,R828,3152,147,8
829,R829,2962,176,10
830,R830,3182,310,12
831,R831,3178,69,11
832,R832,2200,245,4
833,R833,3122,163,9
834,R834,3114,119,11
835,R835,3165,11,13
836,R836,2548,133,26
837,R837,2373,332,21
838,R838,2933,252,10
839,R839,2849,354,10
840,R840,3328,243,2
841,R841,3033,283,17
842,R842,3223,44,27
843,R843,3190,275,9
844,R844,3268,344,10
845,R845,3245,174,32
846,R846,2337,150,5
847,R847,3127,246,3
848,R848,2906,308,13
849,R849,3018,200,6
850,R850,3217,51,3
851,R851,3119,141,18
852,R852,3381,237,17
853,R853,2959,206,10
854,R854,2971,275,6
855,R855,3025,267,12
856,R856,3229,171,23
857,R857,2269,320,26
858,R858,2575,29,13
859,R859,3203,76,7
860,R860,3084,170,25
861,R861,2863,98,7
862,R862,3143,83,27
863,R863,2712,79,13
864,R864,2218,269,36
865,R865,2814,86,10
866,R866,1964,299,24
867,R867,2965,246,9
868,R868,3249,137,12
869,R869,2734,9,7
870,R870,3243,313,29
871,R871,3224,244,14
872,R872,2862,101,10
873,R873,3348,305,11
874,R874,2753,29,12
875,R875,3130,285,7
876,R876,3286,278,22
877,R877,2893,315,1
878,R878,1956,57,31
879,R879,3038,338,13
880,R880,2899,176,7
881,R881,3212,101,16
882,R882,2882,330,14
883,R883,3445,39,17
884,R884,2890,4,21
885,R885,3259,349,11
886,R886,2917,110,22
887,R887,2860,339,13
888,R888,3031,241,9
889,R889,3357,99,10
890,R890,2886,152,9
891,R891,2163,67,31
892,R892,3135,302,15
893,R893,3420,348,15
894,R894,2671,49,10
895,R895,2290,0,32
896,R896,3176,345,7
897,R897,3041,2,27
898,R898,2957,104,9
899,R899,2810,62,24
900,R900,2325,357,24
901,R901,2913,353,9
902,R902,2827,333,1
903,R903,2720,114,6
904,R904,2837,86,7
905,R905,3157,288,13
906,R906,2815,62,23
907,R907,3266,85,10
908,R908,3080,135,9
909,R909,3312,162,20
910,R910,3185,304,12
911,R911,2586,39,13
912,R912,3191,56,33
913,R913,3155,115,10
914,R914,3154,45,5
915,R915,3273,160,6
916,R916,3232,61,7
917,R917,3263,12,22
918,R918,2037,202,32
919,R919,2798,63,8
920,R920,3371,36,2
921,R921,3364,98,7
922,R922,2208,336,28
923,R923,3029,174,12
924,R924,3235,176,15
925,R925,3054,56,7
926,R926,3208,73,14
927,R927,2609,27,23
928,R928,3174,113,13
929,R929,2072,45,14
930,R930,3009,330,8
931,R931,3359,75,5
932,R932,2231,98,25
933,R933,3124,231,6
934,R934,2920,27,13
935,R935,3162,347,21
936,R936,2939,264,11
937,R937,2871,304,32
938,R938,3316,356,9
939,R939,3182,88,6
940,R940,3026,86,10
941,R941,2919,135,4
942,R942,3205,203,9
943,R943,2566,44,19
944,R944,2834,21,12
945,R945,3304,180,18
946,R946,3259,129,18
947,R947,2937,75,10
948,R948,3050,106,17
949,R949,3418,59,1
950,R950,2386,166,21
951,R951,2934,26,25
952,R952,3083,308,14
953,R953,2691,108,10
954,R954,3018,144,26
955,R955,3453,310,15
956,R956,2700,115,19
957,R957,3107,47,15
958,R958,2886,38,8
959,R959,2819,330,19
960,R960,3160,143,20
961,R961,3056,132,6
962,R962,2818,14,15
963,R963,2895,239,23
964,R964,2937,92,8
965,R965,2375,5,15
966,R966,2978,59,22
967,R967,3560,55,18
968,R968,3045,45,5
969,R969,3365,89,12
970,R970,3337,315,12
971,R971,3057,20,34
972,R972,3006,17,21
973,R973,2854,359,18
974,R974,3218,167,16
975,R975,3073,300,5
976,R976,3136,233,5
977,R977,2721,12,11
978,R978,3304,5,19
979,R979,3051,240,13
980,R980,2365,58,29
981,R981,2969,349,19
982,R982,3045,31,16
983,R983,2913,104,2
984,R984,3484,281,34
985,R985,2711,67,6
986,R986,2997,64,27
987,R987,3069,324,8
988,R988,2807,43,11
989,R989,2889,54,18
990,R990,2031,16,18
991,R991,2643,48,15
992,R992,2520,277,20
993,R993,3098,328,4
994,R994,2971,45,12
995,R995,2888,169,13
996,R996,2785,334,22
997,R997,2907,99,10
998,R998,3017,193,16
999,R999,3360,193,13
1000,R1000,2841,110,10
1001,R1001,3642,22,18
1002,R1002,3080,69,19
1003,R1003,3202,223,11
1004,R1004,3149,122,9
1005,R1005,3100,103,14
1006,R1006,2187,138,19
1007,R1007,2884,126,12
1008,R1008,2048,69,20
1009,R1009,3425,171,15
1010,R1010,3256,297,3
1011,R1011,3354,212,14
1012,R1012,2731,117,7
1013,R1013,3135,292,11
1014,R1014,2962,342,2
1015,R1015,2978,311,9
1016,R1016,3119,157,21
1017,R1017,3405,323,12
1018,R1018,2811,317,10
1019,R1019,2703,192,8
1020,R1020,3004,170,12
1021,R1021,3141,329,25
1022,R1022,3086,93,23
1023,R1023,2815,45,9
1024,R1024,3073,189,10
1025,R1025,3261,356,14
1026,R1026,2199,135,16
1027,R1027,2881,303,16
1028,R1028,3109,37,2
1029,R1029,2996,2,15
1030,R1030,3336,323,10
1031,R1031,3262,5,8
1032,R1032,3011,315,20
1033,R1033,3169,107,9
1034,R1034,3122,99,9
1035,R1035,3000,55,10
1036,R1036,3089,42,12
1037,R1037,2050,24,39
1038,R1038,3141,84,20
1039,R1039,2795,101,8
1040,R1040,3149,100,18
1041,R1041,2866,73,24
1042,R1042,2951,83,21
1043,R1043,2893,108,10
1044,R1044,2972,158,17
1045,R1045,3134,207,10
1046,R1046,3044,123,20
1047,R1047,2622,30,11
1048,R1048,3043,56,9
1049,R1049,3090,55,8
1050,R1050,3107,17,13
1051,R1051,3278,13,8
1052,R1052,2371,330,26
1053,R1053,2817,171,5
1054,R1054,3034,351,17
1055,R1055,3151,352,7
1056,R1056,2430,184,13
1057,R1057,3091,57,8
1058,R1058,2774,297,19
1059,R1059,2710,129,3
1060,R1060,3150,41,10
1061,R1061,3004,90,8
1062,R1062,2572,325,19
1063,R1063,3111,114,14
1064,R1064,2976,272,6
1065,R1065,3134,249,27
1066,R1066,2605,12,16
1067,R1067,2726,239,24
1068,R1068,3095,180,2
1069,R1069,2822,352,19
1070,R1070,3044,21,13
1071,R1071,2505,124,29
1072,R1072,2999,344,6
1073,R1073,3348,5,11
1074,R1074,3200,317,22
1075,R1075,2829,63,1
1076,R1076,2261,6,34
1077,R1077,3135,73,5
1078,R1078,2972,78,18
1079,R1079,2832,221,31
1080,R1080,3151,346,6
1081,R1081,2943,299,5
1082,R1082,2978,26,20
1083,R1083,2568,325,30
1084,R1084,2673,60,15
1085,R1085,2301,199,12
1086,R1086,3253,100,7
1087,R1087,2347,326,22
1088,R1088,3126,124,15
1089,R1089,2819,126,22
1090,R1090,3052,45,9
1091,R1091,2599,7,8
1092,R1092,3410,351,6
1093,R1093,3063,70,20
1094,R1094,2966,77,8
1095,R1095,2159,310,24
1096,R1096,3172,330,15
1097,R1097,3070,45,11
1098,R1098,3096,146,7
1099,R1099,3133,115,7
1100,R1100,3201,353,6
1101,R1101,2722,294,16
1102,R1102,2929,235,11
1103,R1103,3250,336,14
1104,R1104,2462,190,5
1105,R1105,2325,300,32
1106,R1106,3109,162,23
1107,R1107,3316,194,9
1108,R1108,3282,16,14
1109,R1109,3189,124,10
1110,R1110,3101,337,13
1111,R1111,3107,22,13
1112,R1112,3075,115,17
1113,R1113,2554,121,3
1114,R1114,3086,98,18
1115,R1115,2982,276,9
1116,R1116,3305,60,8
1117,R1117,2887,205,14
1118,R1118,3284,4,10
1119,R1119,3001,327,7
1120,R1120,3227,166,13
1121,R1121,3029,359,13
1122,R1122,2878,189,15
1123,R1123,2739,347,6
1124,R1124,2723,23,12
1125,R1125,2986,245,7
1126,R1126,3360,269,10
1127,R1127,2934,33,13
1128,R1128,2560,200,17
1129,R1129,3381,66,19
1130,R1130,3163,77,9
1131,R1131,3231,207,7
1132,R1132,3296,16,12
1133,R1133,2974,286,6
1134,R1134,2842,49,4
1135,R1135,2740,243,27
1136,R1136,2978,316,18
1137,R1137,3420,72,16
1138,R1138,2654,164,25
1139,R1139,2922,121,7
1140,R1140,3028,31,17
