id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
53,R53,2567,78,11,0,0,883,234
54,R54,2994,23,12,60,17,1861,213
55,R55,3345,98,10,313,19,2589,237
56,R56,3349,298,9,190,23,3481,194
57,R57,3377,273,9,395,1,3013,197
58,R58,3055,18,6,268,1,1519,216
59,R59,3234,49,5,365,0,162,222
60,R60,2970,146,2,0,0,2433,221
61,R61,2895,45,8,30,2,3368,223
62,R62,2896,38,8,190,29,4094,220
63,R63,2054,281,38,60,31,437,95
64,R64,2759,95,10,30,0,1543,237
65,R65,3043,184,10,573,132,3086,222
66,R66,3167,176,15,0,0,2172,226
67,R67,2983,65,14,771,185,2955,233
68,R68,2861,6,24,376,48,3224,182
69,R69,3258,15,11,660,55,1872,211
70,R70,2867,49,29,124,60,1443,218
71,R71,2947,74,34,330,173,4307,237
72,R72,3429,330,14,825,34,2400,187
73,R73,3036,86,14,0,0,3404,240
74,R74,2958,54,16,201,22,4526,228
75,R75,2857,309,19,30,17,4794,164
76,R76,3237,277,24,361,130,323,150
77,R77,2811,104,20,170,85,3577,249
78,R78,3219,40,7,0,0,3059,221
79,R79,3021,0,7,552,56,5449,210
80,R80,2637,49,19,175,37,1167,224
81,R81,2899,105,24,30,14,306,252
82,R82,3201,74,19,560,126,4286,239
83,R83,2604,40,12,42,0,2012,221
84,R84,2968,184,10,277,59,6012,223
85,R85,3313,84,18,216,-9,2630,243
86,R86,2868,53,21,67,-5,1890,226
87,R87,3098,68,15,201,25,4326,234
88,R88,2847,222,22,60,14,3907,187
89,R89,3284,161,17,524,61,2888,235
90,R90,3046,110,20,30,-7,933,249
91,R91,3255,304,7,170,10,5590,201
92,R92,3402,310,11,192,14,5030,191
93,R93,2856,316,37,335,131,2700,99
94,R94,3100,73,9,391,23,1905,231
95,R95,2727,21,25,309,157,2100,194
96,R96,3564,0,2,283,71,1733,216
97,R97,2458,102,18,67,21,450,247
98,R98,3229,97,14,661,113,2283,242
99,R99,2751,314,28,108,56,1213,135
100,R100,2509,128,19,182,53,631,248
101,R101,3223,42,6,180,20,1850,221
102,R102,2951,15,11,323,-21,1443,211
103,R103,2959,41,15,90,0,4793,221
104,R104,2926,88,6,319,-41,4593,230
105,R105,2984,125,16,67,19,300,246
106,R106,2575,353,10,90,15,1201,203
107,R107,3256,28,13,182,44,1328,215
108,R108,2184,310,19,85,10,1260,164
109,R109,3237,22,5,420,34,1871,217
110,R110,3165,332,10,540,81,306,196
111,R111,3519,308,28,247,168,3350,134
112,R112,3259,352,5,741,111,6131,211
113,R113,3245,104,21,339,64,4050,250
114,R114,3076,332,18,228,16,1200,174
115,R115,2955,305,11,30,5,331,188
116,R116,3131,291,11,524,74,1167,190
117,R117,3393,306,12,443,75,1667,185
118,R118,3178,20,6,395,36,3049,216
119,R119,2988,298,19,242,89,5437,162
120,R120,2789,264,7,120,34,1758,203
121,R121,2945,321,14,234,63,1924,184
122,R122,2885,307,9,277,71,1231,194
123,R123,2820,99,18,153,41,579,247
124,R124,3082,353,17,379,87,2430,189
125,R125,2121,179,25,30,3,573,221
126,R126,2990,358,24,767,113,782,175
127,R127,3180,150,25,60,21,1565,243
128,R128,2766,81,13,268,-3,1717,237
129,R129,3112,342,6,579,27,1146,208
130,R130,3247,208,11,212,32,3764,212
131,R131,3227,305,10,524,52,503,193
132,R132,3346,74,34,85,31,2040,237
133,R133,3082,151,6,30,-4,4905,228
134,R134,2995,163,11,366,135,6462,231
135,R135,3032,114,9,170,24,2854,235
136,R136,3283,17,14,824,-7,1818,208
137,R137,3293,12,12,437,81,5162,207
138,R138,3023,324,7,150,-2,2402,203
139,R139,3021,235,8,778,125,5917,207
140,R140,3026,104,15,510,56,2670,245
141,R141,3037,346,11,108,4,30,199
142,R142,2850,185,11,330,50,2307,222
143,R143,3210,220,7,488,19,5984,212
144,R144,3134,178,18,255,3,2012,225
145,R145,3019,90,1,30,0,4436,220
146,R146,3164,24,14,30,5,2230,212
147,R147,3008,103,8,42,4,6279,234
148,R148,3008,209,5,962,99,5796,216
149,R149,2364,273,22,120,35,150,155
150,R150,2588,110,6,180,18,2881,231
151,R151,3351,252,12,67,6,5168,194
152,R152,2972,45,7,466,-9,4635,222
153,R153,2984,332,10,319,16,170,196
154,R154,3387,180,9,371,-9,2382,224
155,R155,2887,98,2,408,60,1073,222
156,R156,2952,79,11,150,13,2321,234
157,R157,2926,149,26,124,42,1673,243
158,R158,2964,21,7,108,11,2058,215
159,R159,3264,58,24,108,-3,2115,229
160,R160,3097,0,6,0,0,2081,212
161,R161,3196,328,15,170,20,4395,184
162,R162,3119,117,7,30,-3,3205,233
163,R163,2995,171,6,417,82,4464,224
164,R164,2766,1,14,150,44,2654,199
165,R165,3276,354,9,446,147,4050,206
166,R166,2951,153,19,424,139,446,239
167,R167,3003,108,1,268,24,1172,220
168,R168,2971,323,14,127,21,4184,185
169,R169,3141,182,23,466,126,1907,220
170,R170,2580,164,17,150,43,1641,233
171,R171,2988,228,18,201,55,3054,191
172,R172,2921,66,14,513,158,1682,233
173,R173,2434,27,12,256,100,780,215
174,R174,3046,323,10,424,-74,1883,195
175,R175,2640,108,10,459,105,1657,238
176,R176,2577,95,11,30,6,1929,238
177,R177,3155,108,1,408,55,5467,220
178,R178,2850,12,10,242,23,3721,210
179,R179,3447,50,25,30,10,3318,222
180,R180,2801,138,22,108,52,1812,247
181,R181,2869,3,13,30,5,2780,201
182,R182,2541,270,7,339,76,932,203
183,R183,2623,62,19,170,56,990,232
184,R184,3273,135,13,458,115,5232,240
185,R185,2574,61,10,30,6,1057,228
186,R186,2978,173,10,339,59,5443,226
187,R187,3194,15,11,789,177,1900,211
188,R188,2688,43,11,382,37,541,222
189,R189,2667,32,4,180,10,210,219
190,R190,3226,38,18,350,90,953,217
191,R191,3143,145,11,85,4,1292,236
192,R192,3190,185,27,323,67,2644,213
193,R193,2757,1,21,570,133,1549,185
194,R194,2901,67,25,170,86,175,235
195,R195,3077,136,24,170,47,2673,249
196,R196,2290,143,20,242,127,1387,244
197,R197,3124,95,18,95,25,4126,246
198,R198,3232,303,5,60,6,5791,206
199,R199,3002,161,19,300,81,1523,235
200,R200,2859,112,13,170,39,2270,242
201,R201,2929,76,9,242,-2,5579,232
202,R202,2505,325,13,30,0,1253,186
203,R203,2815,348,21,277,121,2814,176
204,R204,2820,76,25,30,13,1771,241
205,R205,2996,138,24,268,112,1533,248
206,R206,2791,71,13,484,23,1560,234
207,R207,2808,14,10,339,35,1638,211
208,R208,2924,122,13,192,51,1560,242
209,R209,3028,349,12,351,20,1848,197
210,R210,3203,0,0,30,0,4986,218
211,R211,3149,238,24,738,58,4137,168
212,R212,3247,51,16,255,13,1541,226
213,R213,2916,15,19,509,111,4516,200
214,R214,2951,60,34,255,84,1710,223
215,R215,2751,172,3,30,-1,3013,222
216,R216,2754,330,17,42,10,1989,177
217,R217,2836,290,6,324,38,2509,204
218,R218,2801,51,13,60,16,3423,226
219,R219,3006,320,7,95,12,4188,201
220,R220,2295,321,14,283,71,942,184
221,R221,3201,126,12,532,26,4116,240
222,R222,2601,327,14,67,14,2096,185
223,R223,2747,97,8,60,6,2279,234
224,R224,2995,353,6,180,23,5152,210
225,R225,3057,333,7,658,85,5700,205
226,R226,3233,163,14,242,45,1057,232
227,R227,3470,71,19,726,236,2108,237
228,R228,3183,27,11,360,55,1511,215
229,R229,2180,336,20,120,40,418,170
230,R230,3109,140,8,270,0,6587,232
231,R231,2571,164,31,547,163,540,230
232,R232,2674,178,17,95,35,1947,226
233,R233,2930,220,20,570,173,1379,193
234,R234,3346,343,17,175,20,3636,184
235,R235,2684,228,34,85,50,774,150
236,R236,2273,109,19,120,26,1144,249
237,R237,2434,64,7,0,0,395,227
238,R238,2732,247,2,0,0,3663,215
239,R239,3143,309,7,95,26,2221,202
240,R240,2827,23,8,0,0,2525,216
241,R241,2544,105,8,295,43,1254,234
242,R242,2626,37,30,242,133,886,204
243,R243,3057,18,2,330,66,5729,217
244,R244,3404,120,20,446,-60,1974,249
245,R245,3165,121,22,350,129,2973,251
246,R246,3285,265,3,30,0,5773,213
247,R247,2754,157,10,0,0,2556,231
248,R248,2697,163,11,228,29,1560,230
249,R249,2996,185,22,997,201,2731,218
250,R250,2659,191,34,120,40,1950,197
251,R251,2558,344,10,67,11,1012,201
252,R252,2717,13,11,228,93,2315,210
253,R253,3098,206,6,212,7,2044,216
254,R254,2616,91,25,60,-4,1006,249
255,R255,2998,64,7,182,-11,4092,227
256,R256,3143,87,36,277,-25,1129,245
257,R257,3234,3,15,30,6,1441,198
258,R258,2818,70,15,330,56,3199,235
259,R259,3425,159,12,424,96,1124,233
260,R260,2531,45,9,242,23,750,223
261,R261,2877,255,19,488,165,443,172
262,R262,2878,335,8,150,-2,1734,202
263,R263,3107,18,5,0,0,1055,216
264,R264,2844,94,6,633,18,720,230
265,R265,3070,353,22,108,26,4410,178
266,R266,3035,300,13,350,80,636,184
267,R267,2900,143,14,376,95,2736,239
268,R268,3304,211,19,283,87,3296,200
269,R269,2742,303,8,212,53,1400,197
270,R270,2708,186,6,162,16,1801,221
271,R271,3292,31,13,323,67,3860,216
272,R272,2912,230,29,216,95,1482,161
273,R273,2813,243,7,30,5,2197,207
274,R274,3005,187,8,663,84,1771,221
275,R275,2743,82,20,335,127,1505,243
276,R276,2467,112,22,242,107,757,252
277,R277,2957,331,12,30,6,2370,192
278,R278,2812,129,30,90,10,702,252
279,R279,2517,144,18,42,13,1376,242
280,R280,3051,117,4,95,3,2707,227
281,R281,2362,64,25,150,31,95,233
282,R282,3019,84,12,577,46,1328,237
283,R283,2705,316,21,362,38,853,160
284,R284,3093,13,12,365,76,1414,208
285,R285,3060,4,12,67,12,2644,204
286,R286,3207,189,19,85,18,3182,218
287,R287,2333,348,9,0,0,1142,203
288,R288,2951,105,14,124,25,2112,243
289,R289,2925,326,19,67,15,994,170
290,R290,2853,84,15,85,29,900,240
291,R291,3259,173,9,780,45,592,226
292,R292,2849,133,12,228,55,2326,239
293,R293,2850,90,5,342,-4,1917,227
294,R294,2939,161,9,42,3,3680,230
295,R295,2832,52,11,258,55,3390,226
296,R296,3276,268,7,30,4,1657,201
297,R297,3039,45,15,60,13,4607,223
298,R298,2857,156,15,90,20,4749,236
299,R299,3201,104,4,85,1,2297,226
300,R300,3232,56,3,351,22,4725,222
301,R301,3102,338,13,726,329,1148,190
302,R302,3228,98,10,60,9,2431,237
303,R303,3053,331,15,85,10,1358,182
304,R304,2308,32,10,30,1,192,218
305,R305,3160,224,16,362,92,3062,198
306,R306,2959,131,15,371,43,4586,243
307,R307,2772,356,12,424,81,2864,201
308,R308,3125,208,22,331,87,3294,198
309,R309,2975,115,5,170,12,5079,229
310,R310,3364,29,17,551,170,3428,212
311,R311,3275,137,16,150,39,3865,243
312,R312,3142,22,19,417,121,4705,205
313,R313,3095,79,8,30,2,1812,231
314,R314,3230,11,8,60,5,3752,211
315,R315,2058,244,33,150,60,350,135
316,R316,3254,330,16,470,56,1101,180
317,R317,2967,236,34,450,281,2173,143
318,R318,2206,15,9,335,151,541,212
319,R319,3076,19,11,277,60,4347,212
320,R320,2830,124,24,433,55,1991,252
321,R321,3235,196,23,162,46,3183,208
322,R322,2755,140,7,67,14,1567,231
323,R323,3313,287,41,234,44,3354,78
324,R324,2850,97,23,240,128,1905,250
325,R325,3122,89,10,240,75,5248,236
326,R326,3386,283,9,541,96,1465,196
327,R327,2324,304,10,270,41,1250,192
328,R328,3154,225,3,618,117,1936,215
329,R329,2730,126,23,30,1,3171,251
330,R330,2916,97,15,42,8,3589,243
331,R331,3231,297,17,127,33,4370,171
332,R332,2666,346,4,90,-1,1897,212
333,R333,2774,51,18,30,-3,3884,226
334,R334,3436,263,9,785,195,3495,197
335,R335,3436,45,4,541,107,1273,221
336,R336,3139,231,10,335,55,5756,204
337,R337,2922,47,10,607,273,825,224
338,R338,3197,13,17,840,180,1900,202
339,R339,2340,345,18,124,35,1243,182
340,R340,3440,1,9,450,101,1673,207
341,R341,2637,174,6,42,6,1676,224
342,R342,3272,62,5,553,113,618,224
343,R343,2864,198,24,361,18,1581,205
344,R344,3028,278,16,150,48,339,173
345,R345,2837,135,7,256,19,3596,232
346,R346,2759,90,4,270,26,2856,226
347,R347,3246,161,9,190,46,2992,229
348,R348,3109,184,12,175,21,1965,222
349,R349,2697,41,16,323,14,1530,221
350,R350,2563,340,20,120,26,1405,175
351,R351,3178,10,4,90,3,426,215
352,R352,2424,153,6,30,-4,1120,228
353,R353,3337,330,25,335,55,2140,152
354,R354,3259,156,20,212,65,1854,238
355,R355,3103,94,10,85,10,4052,236
356,R356,2781,197,22,313,162,1442,208
357,R357,2670,138,26,247,70,1148,248
358,R358,2532,117,18,30,10,1507,248
359,R359,2794,350,9,30,3,1065,203
360,R360,3003,76,10,190,-16,4056,233
361,R361,2717,33,5,283,72,1110,219
362,R362,2454,0,14,30,7,323,198
363,R363,3193,343,22,319,107,4024,169
364,R364,3302,190,12,256,41,3410,220
365,R365,2993,130,18,30,-4,2616,246
366,R366,3240,11,7,660,112,1237,213
367,R367,2995,192,29,120,25,930,204
368,R368,2953,93,18,443,146,457,245
369,R369,3253,113,14,30,6,750,243
370,R370,2966,4,21,240,88,5394,188
371,R371,3301,306,22,67,33,5460,156
372,R372,2704,28,19,90,28,1245,209
373,R373,2445,325,26,360,184,525,145
374,R374,3416,286,23,446,58,720,151
375,R375,2816,311,5,190,18,600,206
376,R376,2797,351,11,0,0,1376,199
377,R377,3010,311,9,192,39,484,196
378,R378,2753,77,16,0,0,1517,239
379,R379,2693,284,4,518,81,953,209
380,R380,3010,86,7,120,33,4507,231
381,R381,2902,77,14,376,29,3242,237
382,R382,3143,327,7,0,0,785,204
383,R383,2856,84,11,335,54,2672,235
384,R384,2931,49,5,67,-4,3883,222
385,R385,3259,357,17,90,25,4458,191
386,R386,2356,54,25,67,20,417,225
387,R387,3205,80,21,547,130,4245,243
388,R388,2543,105,5,190,-6,1020,228
389,R389,3017,38,17,379,52,2473,218
390,R390,2962,90,15,365,46,4603,242
391,R391,3021,81,9,256,46,2829,233
392,R392,2618,309,16,270,100,1087,175
393,R393,2981,144,17,120,8,2658,242
394,R394,3158,39,6,297,27,3007,220
395,R395,3060,152,16,255,-19,5960,238
396,R396,2703,107,10,30,5,1328,237
397,R397,2656,52,16,297,0,573,227
398,R398,2629,338,9,242,20,979,201
399,R399,3155,94,10,256,6,3837,236
400,R400,2591,4,7,242,46,558,211
401,R401,3293,15,10,240,37,5484,211
402,R402,2687,89,12,124,11,1463,238
403,R403,2697,159,21,150,1,1243,237
404,R404,3179,299,24,342,73,270,147
405,R405,3089,14,4,330,26,458,216
406,R406,3044,252,10,362,82,3087,197
407,R407,3198,34,23,153,-3,1517,210
408,R408,3593,106,18,331,91,2654,248
409,R409,3191,132,6,162,12,4115,229
410,R410,2973,190,16,277,42,2337,218
411,R411,2900,3,41,306,109,1357,134
412,R412,2900,113,19,390,121,870,249
413,R413,3240,132,14,153,18,3602,241
414,R414,3183,210,29,362,38,2761,185
415,R415,3167,48,11,85,-18,2026,224
416,R416,2695,122,16,108,18,1728,246
417,R417,3174,318,31,301,-61,3391,126
418,R418,3041,75,13,379,50,5590,235
419,R419,2162,357,33,330,138,404,149
420,R420,3288,142,3,0,0,5828,223
421,R421,2984,303,5,769,172,1148,206
422,R422,2629,127,10,42,6,1324,237
423,R423,2807,355,15,60,4,1657,195
424,R424,2709,33,15,210,52,1747,216
425,R425,2630,140,23,108,36,1716,247
426,R426,3146,66,6,488,33,3861,227
427,R427,3103,107,5,300,-5,6591,229
428,R428,3156,86,22,30,11,2266,245
429,R429,3337,208,16,319,86,3469,208
430,R430,2834,340,27,283,132,2897,152
431,R431,3106,169,29,390,91,1909,228
432,R432,3520,256,21,362,169,3387,167
433,R433,2908,323,14,150,73,955,183
434,R434,2670,156,9,162,27,1554,230
435,R435,2588,171,10,60,-3,2943,227
436,R436,3246,294,21,256,67,4443,156
437,R437,3203,265,3,384,32,6031,213
438,R438,2495,6,9,67,2,511,209
439,R439,2624,202,3,0,0,1253,218
440,R440,2963,16,3,30,0,3814,217
441,R441,3173,128,14,916,1,3037,242
442,R442,2237,43,17,424,111,603,221
443,R443,3054,144,6,95,13,624,229
444,R444,2932,267,32,313,135,2338,123
445,R445,2660,61,2,301,8,738,221
446,R446,2898,67,17,636,130,684,234
447,R447,3281,12,7,335,68,1282,213
448,R448,2833,51,28,469,69,1092,220
449,R449,3000,255,15,426,54,1159,186
450,R450,3127,257,13,319,5,1867,189
451,R451,2549,128,13,270,-4,752,241
452,R452,2301,122,16,300,39,85,246
453,R453,2897,356,10,466,28,2108,204
454,R454,2843,71,14,350,55,1144,235
455,R455,3264,331,12,878,73,3736,192
456,R456,3216,58,9,335,33,5635,227
457,R457,2980,173,6,255,57,1655,224
458,R458,3007,350,12,67,1,703,198
459,R459,3257,31,8,255,58,1045,218
460,R460,2822,28,13,182,24,1866,215
461,R461,3179,34,23,630,-7,1861,209
462,R462,2911,52,8,277,56,3339,225
463,R463,3342,91,22,360,52,3397,247
464,R464,2786,327,11,108,24,2974,192
465,R465,3047,28,10,0,0,904,216
466,R466,3185,67,16,60,-5,1477,235
467,R467,2830,323,14,295,43,2598,184
468,R468,2561,307,24,242,86,674,148
469,R469,2782,20,13,108,9,1566,210
470,R470,2363,74,20,283,58,1383,239
471,R471,2924,154,17,1008,129,2610,238
472,R472,3214,44,14,30,6,1894,222
473,R473,2909,85,6,216,16,1747,228
474,R474,3293,77,13,408,93,794,236
475,R475,2142,298,22,127,65,600,153
476,R476,3054,54,12,190,53,5627,227
477,R477,2952,171,18,295,-42,4478,230
478,R478,2961,187,9,743,129,551,221
479,R479,2467,119,16,0,0,886,245
480,R480,2868,321,15,247,70,3277,181
481,R481,3095,51,3,240,10,1400,221
482,R482,2826,306,8,234,15,2765,198
483,R483,2945,46,15,67,14,4626,223
484,R484,3107,129,28,324,40,1617,252
485,R485,2592,331,22,85,31,1159,163
486,R486,3188,244,23,362,80,5788,167
487,R487,2901,279,22,0,0,2644,154
488,R488,3387,203,17,201,32,2355,210
489,R489,3094,6,10,85,9,4352,208
490,R490,3045,22,5,30,4,4231,217
491,R491,2673,13,29,124,68,1253,178
492,R492,2662,136,16,342,-19,1761,244
493,R493,2991,38,16,366,87,4759,218
494,R494,2850,60,13,400,23,932,230
495,R495,3058,135,2,324,-38,664,222
496,R496,3077,251,9,503,48,902,201
497,R497,3254,108,8,30,-2,3987,233
498,R498,2510,99,7,218,-9,1050,233
499,R499,2913,84,17,120,16,2290,242
500,R500,3409,118,9,42,-1,2724,237
501,R501,3106,63,20,258,-33,858,233
502,R502,3034,338,8,190,50,1239,204
503,R503,2959,146,14,85,19,4727,239
504,R504,2104,78,25,216,-6,366,243
505,R505,2668,133,13,497,68,960,240
506,R506,3013,210,4,30,0,2993,217
507,R507,2900,38,11,153,21,525,220
508,R508,3041,179,9,0,0,2377,224
509,R509,2777,281,4,153,14,1681,209
510,R510,3047,318,13,384,74,474,187
511,R511,3050,115,22,400,183,6189,251
512,R512,3014,229,29,134,63,1438,163
513,R513,2563,344,19,30,13,1622,178
514,R514,3114,13,4,342,55,641,215
515,R515,2818,341,17,67,23,4001,183
516,R516,3140,165,30,268,60,3382,230
517,R517,3063,315,8,400,20,484,198
518,R518,3073,61,12,255,59,1530,230
519,R519,3196,278,12,402,48,5949,188
520,R520,3344,342,21,268,62,2203,172
521,R521,2939,279,17,60,6,1091,172
522,R522,2847,329,18,201,47,2616,173
523,R523,3150,328,12,285,43,5433,192
524,R524,2953,10,15,90,17,1224,202
525,R525,3398,84,7,511,-23,797,230
526,R526,2739,2,17,30,10,3214,194
527,R527,2817,248,16,324,102,466,185
528,R528,2778,81,6,0,0,3113,228
529,R529,2866,145,17,481,200,2307,241
530,R530,2935,347,12,190,26,1423,196
531,R531,2850,173,15,285,50,2236,228
532,R532,3201,154,15,218,46,1358,237
533,R533,3389,213,16,342,97,4387,204
534,R534,3260,91,24,30,0,5941,248
535,R535,2577,8,21,150,26,1503,192
536,R536,3238,104,4,201,4,3502,226
537,R537,3043,288,10,124,21,1771,193
538,R538,2493,36,27,90,50,702,207
539,R539,3241,71,10,659,59,4383,231
540,R540,3264,326,5,192,9,1681,207
541,R541,3281,252,11,626,156,3684,196
542,R542,2972,144,12,108,10,4781,237
543,R543,3056,111,15,295,49,3105,244
544,R544,3084,58,14,268,36,2546,229
545,R545,3193,0,18,402,116,3210,190
546,R546,2660,90,11,366,25,424,237
547,R547,2687,27,23,0,0,1440,203
548,R548,2977,135,3,153,4,2597,224
549,R549,2596,95,8,95,-5,1484,233
550,R550,2946,104,25,789,313,2563,252
551,R551,3101,40,7,450,100,2008,221
552,R552,3189,152,8,0,0,4355,230
553,R553,3291,276,24,379,84,618,147
554,R554,3192,6,11,95,10,1499,206
555,R555,3198,88,6,297,23,5180,230
556,R556,3447,1,14,750,78,2520,199
557,R557,2593,2,6,150,26,1362,211
558,R558,2764,36,21,300,99,1797,213
559,R559,3033,218,11,361,87,3171,208
560,R560,3171,22,19,30,8,2689,205
561,R561,2602,82,2,192,1,582,221
562,R562,2680,44,17,67,15,1677,222
563,R563,2605,205,19,30,5,3027,205
564,R564,2596,65,11,342,64,940,230
565,R565,2946,321,13,120,14,3103,186
566,R566,2695,138,28,134,47,421,249
567,R567,2545,344,19,90,40,631,179
568,R568,3395,117,19,474,-69,1956,249
569,R569,3162,18,3,162,-6,787,217
570,R570,2549,114,16,30,8,782,245
571,R571,2761,292,23,150,87,1318,151
572,R572,2813,106,4,30,-1,1924,227
573,R573,2771,351,8,150,21,875,206
574,R574,3005,85,9,95,18,2165,233
575,R575,2507,87,9,270,26,964,234
576,R576,3073,28,11,216,39,6701,216
577,R577,2946,156,11,67,16,1489,233
578,R578,2853,342,15,95,29,108,187
579,R579,2889,110,19,67,11,1443,249
580,R580,3004,65,12,67,-8,2670,231
581,R581,3103,27,8,0,0,3830,217
582,R582,2728,36,14,481,94,511,218
583,R583,2661,62,12,30,-7,1355,230
584,R584,3190,338,20,300,43,2635,173
585,R585,3132,118,24,362,115,3391,253
586,R586,2852,44,16,242,76,2658,222
587,R587,3064,270,8,30,1,2724,200
588,R588,2962,320,11,503,7,3560,192
589,R589,3230,294,15,134,27,4617,178
590,R590,3431,8,7,234,-21,1718,212
591,R591,3391,189,10,379,-1,3154,221
592,R592,3149,110,11,458,95,524,239
593,R593,2772,194,27,30,-13,2797,205
594,R594,2997,107,5,175,17,693,229
595,R595,3465,66,12,684,-27,1080,232
596,R596,2397,326,26,85,22,631,146
597,R597,3108,276,11,95,-18,2550,191
598,R598,2955,278,5,234,29,3876,206
599,R599,3462,312,14,706,106,2614,182
600,R600,3263,100,12,531,104,577,239
601,R601,3001,42,11,573,25,5440,222
602,R602,2893,96,15,446,129,1702,243
603,R603,2945,194,18,360,59,1752,214
604,R604,3071,25,5,108,2,3590,218
605,R605,3231,14,20,964,214,1989,196
606,R606,2812,203,23,120,23,4277,201
607,R607,3142,57,10,832,26,2221,227
608,R608,3075,29,14,418,13,2490,214
609,R609,3003,329,15,240,51,1155,182
610,R610,3223,346,8,255,45,564,205
611,R611,3230,51,20,750,137,1677,225
612,R612,2992,315,17,240,15,4598,174
613,R613,2504,270,23,30,12,604,155
614,R614,2623,189,3,0,0,2010,219
615,R615,2962,37,10,210,20,3750,220
616,R616,2816,194,22,391,35,1637,210
617,R617,2726,79,4,0,0,2498,224
618,R618,2969,14,18,757,197,799,200
619,R619,2989,71,13,134,29,1556,234
620,R620,3175,219,12,67,-3,2989,206
621,R621,3195,90,8,376,75,5152,232
622,R622,2899,18,6,67,7,883,216
623,R623,3132,62,17,60,1,2671,232
624,R624,3360,270,9,242,38,3827,195
625,R625,3065,349,5,182,29,4023,211
626,R626,2857,266,19,395,25,1034,169
627,R627,3152,229,5,382,115,2190,213
628,R628,2831,163,8,30,-4,2044,228
629,R629,3353,283,8,480,42,841,199
630,R630,2859,14,11,0,0,1064,210
631,R631,2938,65,9,90,-32,684,229
632,R632,3082,264,2,330,41,854,214
633,R633,2965,97,10,402,44,5191,237
634,R634,3043,129,6,0,0,1153,231
635,R635,3408,162,10,335,208,2636,230
636,R636,3214,61,12,150,2,1091,230
637,R637,2695,12,21,450,-46,2940,194
638,R638,2886,108,20,360,90,841,249
639,R639,2905,58,26,127,73,361,229
640,R640,2635,263,15,30,6,1434,180
641,R641,2772,8,11,300,45,2003,207
642,R642,3496,248,22,524,145,3426,168
643,R643,2984,75,27,443,167,560,240
644,R644,2684,13,9,150,34,2458,212
645,R645,2311,10,17,170,58,1239,199
646,R646,2906,118,10,0,0,2805,238
647,R647,2549,222,19,424,-50,765,193
648,R648,3055,275,16,457,124,6031,174
649,R649,3300,336,14,162,52,3069,188
650,R650,3100,144,13,42,7,6236,239
651,R651,2646,49,5,212,0,726,222
652,R652,2531,83,8,67,7,660,231
653,R653,3314,193,10,510,126,1302,219
654,R654,3345,276,19,170,35,3825,167
655,R655,3022,341,11,170,18,2467,197
656,R656,3051,12,12,162,24,2821,208
657,R657,3305,330,16,769,77,2092,179
658,R658,2952,284,14,170,35,4748,180
659,R659,3111,79,8,30,5,1766,231
660,R660,3393,15,36,175,76,4066,165
661,R661,3271,243,14,30,12,3378,192
662,R662,2936,4,15,0,0,5852,199
