id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
137,R137,47,29,51,65,18,5,49
138,R138,97,99,62,83,61,24,36
139,R139,27,35,34,46,91,1,1
140,R140,56,30,60,57,87,90,84
141,R141,78,76,17,11,100,59,47
142,R142,49,1,7,57,95,92,89
143,R143,46,70,14,9,59,58,51
144,R144,53,66,75,96,32,56,1
145,R145,27,60,53,7,20,39,73
146,R146,40,12,89,22,97,72,51
147,R147,34,5,29,74,39,30,3
148,R148,34,59,42,75,83,84,17
149,R149,87,10,60,90,78,89,22
150,R150,28,93,86,23,46,98,7
151,R151,23,79,76,68,33,9,64
152,R152,5,55,10,4,48,34,40
153,R153,76,49,8,87,100,83,80
154,R154,62,89,50,88,46,93,1
155,R155,35,85,72,55,44,89,10
156,R156,6,88,12,56,78,62,37
157,R157,21,63,44,99,34,84,49
158,R158,17,96,72,77,23,90,23
159,R159,56,14,3,59,6,31,63
160,R160,47,4,88,26,28,92,20
161,R161,92,100,59,43,63,80,4
162,R162,34,76,73,8,97,93,53
163,R163,65,96,34,1,51,42,24
164,R164,11,26,43,21,67,39,14
165,R165,6,7,95,68,33,88,18
166,R166,87,48,46,91,59,24,15
167,R167,34,17,12,97,94,90,2
168,R168,13,41,12,6,93,35,19
169,R169,55,12,55,98,72,45,3
170,R170,63,96,10,46,8,54,47
171,R171,30,60,43,76,17,64,60
172,R172,17,65,43,21,72,33,28
173,R173,37,32,65,41,15,80,63
174,R174,95,44,61,71,53,22,27
175,R175,87,26,61,66,51,79,64
176,R176,20,86,81,98,34,13,80
177,R177,97,94,16,77,80,69,72
178,R178,84,7,30,97,88,94,38
179,R179,48,67,28,45,85,48,44
180,R180,6,72,17,4,68,65,82
181,R181,28,6,33,50,73,84,82
182,R182,84,45,65,52,21,89,53
183,R183,81,51,22,96,86,55,85
184,R184,95,7,32,31,82,12,47
185,R185,91,25,14,25,55,81,8
186,R186,6,19,38,71,22,86,22
187,R187,39,17,77,89,96,5,11
188,R188,6,62,74,31,36,36,96
189,R189,8,6,46,69,10,99,70
190,R190,18,85,14,8,31,79,80
191,R191,3,67,96,73,75,67,27
192,R192,3,63,66,13,76,5,57
193,R193,77,60,27,29,42,86,15
194,R194,27,45,50,100,25,51,49
195,R195,17,45,61,70,5,59,14
196,R196,37,2,11,86,15,48,18
197,R197,88,92,85,12,22,22,26
198,R198,56,71,56,63,44,67,95
199,R199,80,47,52,81,68,26,39
200,R200,72,34,98,44,5,33,83
201,R201,88,45,94,91,54,42,14
202,R202,43,24,36,41,32,64,25
203,R203,58,98,32,63,82,80,17
204,R204,100,30,60,43,54,69,28
205,R205,38,61,58,93,20,54,77
206,R206,31,77,10,86,18,81,93
207,R207,47,77,4,22,29,36,34
208,R208,48,10,27,80,82,27,31
209,R209,84,51,78,18,12,69,51
210,R210,68,94,10,32,47,23,39
211,R211,74,78,19,2,93,39,94
212,R212,41,97,41,33,75,53,94
213,R213,89,99,8,81,31,66,3
214,R214,99,63,98,84,7,97,5
215,R215,92,77,62,11,75,4,28
216,R216,28,10,79,28,56,49,15
217,R217,30,49,22,39,72,11,49
218,R218,92,94,75,100,2,61,84
219,R219,41,93,8,43,84,25,91
220,R220,83,26,2,32,2,72,23
221,R221,84,29,22,56,52,68,73
222,R222,39,78,13,71,50,96,57
223,R223,44,99,92,73,22,42,33
224,R224,30,23,86,58,78,83,64
225,R225,6,70,21,95,25,63,45
226,R226,29,40,79,39,30,40,81
227,R227,73,69,80,56,93,19,31
228,R228,38,68,82,80,13,95,22
229,R229,69,20,49,91,49,73,97
230,R230,14,54,37,73,9,44,58
231,R231,13,32,19,81,70,11,3
232,R232,44,88,55,99,28,8,26
233,R233,42,69,24,36,21,28,81
234,R234,64,70,53,31,50,31,20
235,R235,75,35,25,23,54,90,54
236,R236,34,10,57,53,89,6,60
237,R237,80,66,6,17,80,32,54
238,R238,12,15,61,57,61,61,93
239,R239,69,7,40,70,90,17,3
240,R240,43,73,69,33,84,17,7
241,R241,70,54,3,88,7,50,59
242,R242,10,25,25,83,96,14,48
243,R243,72,40,18,18,58,54,25
244,R244,6,16,28,70,25,79,59
245,R245,32,35,87,13,55,23,100
246,R246,94,44,33,10,7,40,42
247,R247,27,23,32,25,32,51,32
248,R248,62,26,93,61,8,29,6
249,R249,15,36,67,40,23,32,93
250,R250,32,96,75,82,46,65,92
251,R251,100,71,18,34,82,27,93
252,R252,59,1,70,29,50,84,71
253,R253,22,60,84,98,22,35,73
254,R254,47,66,96,73,80,67,62
255,R255,48,12,8,21,30,76,8
256,R256,35,17,27,68,51,28,79
257,R257,37,1,8,28,7,61,21
258,R258,10,86,78,44,91,27,18
259,R259,48,65,63,90,53,76,44
260,R260,43,92,34,99,43,90,56
261,R261,1,69,57,25,65,16,30
262,R262,67,86,15,42,86,19,66
263,R263,96,52,35,38,77,56,68
264,R264,21,73,38,43,78,100,30
265,R265,60,82,21,89,33,88,56
266,R266,96,46,26,71,27,79,93
267,R267,100,82,44,21,57,76,85
268,R268,53,85,36,85,57,65,1
269,R269,44,78,35,58,84,59,99
270,R270,65,75,90,39,81,19,100
271,R271,16,68,68,44,38,30,37
272,R272,59,59,96,88,83,34,64
273,R273,49,43,86,5,7,66,58
274,R274,44,15,44,64,1,83,27
275,R275,28,89,89,59,66,4,56
276,R276,12,3,87,57,81,45,65
277,R277,56,23,17,79,5,75,3
278,R278,26,7,56,8,52,22,1
279,R279,71,82,47,1,53,100,96
280,R280,85,10,82,7,62,40,73
281,R281,58,73,18,68,49,20,80
282,R282,58,14,50,71,99,57,99
283,R283,19,84,25,18,17,5,58
284,R284,49,52,9,12,55,75,52
285,R285,42,95,43,94,35,16,63
286,R286,63,47,94,34,72,53,29
287,R287,19,56,5,3,87,6,1
288,R288,34,32,20,23,69,28,68
289,R289,34,56,78,69,97,96,67
290,R290,97,8,68,25,55,75,45
291,R291,72,10,73,24,93,32,5
292,R292,99,93,37,30,65,27,44
293,R293,97,92,88,10,45,16,60
294,R294,82,31,15,58,91,18,70
295,R295,69,19,26,69,16,59,64
296,R296,21,94,98,3,95,4,8
297,R297,48,48,3,87,18,65,51
298,R298,41,97,77,88,97,90,96
299,R299,95,100,98,36,71,4,72
300,R300,6,45,99,63,4,69,50
301,R301,76,67,51,85,28,99,27
302,R302,28,41,68,48,49,1,35
303,R303,36,87,17,23,31,46,29
304,R304,34,7,1,55,90,82,63
305,R305,3,67,98,28,82,25,33
306,R306,57,18,88,62,99,57,35
307,R307,52,63,29,12,92,97,92
308,R308,62,47,83,77,16,70,26
309,R309,58,4,66,68,7,17,16
310,R310,62,33,64,81,79,46,83
311,R311,48,54,80,89,8,49,21
312,R312,58,77,82,53,13,1,18
313,R313,97,43,89,44,68,36,98
314,R314,95,78,30,6,87,52,41
315,R315,51,30,36,8,87,34,85
316,R316,50,53,99,22,66,83,25
317,R317,54,15,91,87,36,8,85
318,R318,74,12,34,75,25,33,99
319,R319,11,7,91,31,69,77,96
320,R320,66,14,86,75,3,21,60
321,R321,2,53,35,28,42,4,75
322,R322,41,17,67,50,14,60,45
323,R323,27,2,98,85,86,72,75
324,R324,20,36,9,75,92,31,8
325,R325,16,25,12,73,7,91,32
326,R326,80,39,40,93,71,19,20
327,R327,59,45,61,50,20,46,38
328,R328,85,63,36,29,90,45,51
329,R329,21,64,4,18,7,10,68
330,R330,12,62,88,82,55,31,46
331,R331,26,22,15,78,4,14,86
332,R332,41,33,20,87,72,70,43
333,R333,32,29,1,33,94,54,72
334,R334,70,79,91,28,60,53,17
335,R335,86,68,73,71,77,13,15
336,R336,44,16,18,6,66,55,51
337,R337,25,45,18,67,94,72,74
338,R338,49,89,37,10,47,50,37
339,R339,26,43,68,81,80,8,73
340,R340,54,81,53,68,49,8,56
341,R341,65,40,32,82,76,92,22
342,R342,75,70,44,93,18,71,52
343,R343,62,90,44,28,1,8,91
344,R344,97,35,93,62,69,59,74
345,R345,46,56,37,17,82,63,93
346,R346,81,59,21,50,22,16,36
347,R347,25,44,92,57,10,48,30
348,R348,73,87,71,55,20,83,96
349,R349,97,82,31,71,36,55,81
350,R350,81,62,12,31,78,41,84
351,R351,7,12,77,59,15,46,54
352,R352,26,16,96,13,57,1,25
353,R353,17,35,99,87,35,31,28
354,R354,46,77,48,60,11,49,81
355,R355,52,34,20,92,76,98,46
356,R356,57,14,3,20,76,23,82
357,R357,59,53,83,13,70,53,18
358,R358,47,78,86,100,66,63,51
359,R359,48,84,75,54,24,43,80
360,R360,1,67,81,71,8,78,49
361,R361,58,20,70,88,28,35,22
362,R362,7,87,17,43,5,76,14
363,R363,57,44,16,37,28,46,33
364,R364,50,76,42,44,48,50,99
365,R365,80,98,28,40,54,25,15
366,R366,70,69,43,59,43,19,50
367,R367,72,94,63,11,75,46,20
368,R368,28,93,3,93,70,29,12
369,R369,51,9,38,10,18,73,68
370,R370,49,100,66,6,93,2,19
371,R371,21,91,71,85,55,55,47
372,R372,59,76,39,80,3,92,30
373,R373,99,76,38,24,81,88,67
374,R374,96,6,91,97,28,28,49
375,R375,79,43,62,76,91,73,90
376,R376,60,83,83,40,46,3,41
377,R377,64,85,79,36,92,69,11
378,R378,94,68,70,53,64,7,57
379,R379,4,31,2,57,24,10,33
380,R380,61,58,59,50,97,10,26
381,R381,85,73,57,36,14,21,74
382,R382,59,28,26,24,73,1,96
383,R383,61,30,81,81,47,70,52
384,R384,29,63,5,43,58,8,32
385,R385,85,61,9,30,6,59,33
386,R386,3,40,75,22,85,55,48
387,R387,70,75,5,36,6,94,2
388,R388,94,14,89,38,91,13,63
389,R389,43,46,19,100,53,12,36
390,R390,29,85,28,68,45,90,71
391,R391,31,96,60,36,46,4,15
392,R392,58,69,61,27,83,64,70
393,R393,52,31,7,29,16,76,52
394,R394,89,31,20,88,83,58,45
395,R395,23,89,41,51,74,75,80
396,R396,63,98,91,93,84,86,25
397,R397,94,3,53,57,86,27,22
398,R398,67,69,62,57,66,30,31
399,R399,37,43,69,75,12,49,87
400,R400,79,22,99,20,64,14,9
401,R401,85,99,94,13,38,56,30
402,R402,73,82,26,61,11,19,16
403,R403,45,53,56,26,57,96,32
404,R404,89,9,61,75,56,8,26
405,R405,82,86,47,64,96,83,14
406,R406,90,36,99,21,56,18,11
407,R407,35,47,87,98,8,33,10
408,R408,41,23,29,93,43,81,30
409,R409,2,63,28,99,31,63,15
410,R410,99,78,36,4,21,95,57
411,R411,20,47,16,75,14,49,31
412,R412,67,53,7,39,58,57,74
413,R413,89,75,70,57,93,22,92
414,R414,59,44,88,26,95,82,64
415,R415,85,69,83,37,89,31,44
416,R416,71,50,80,86,68,84,8
417,R417,69,58,60,25,81,43,26
418,R418,7,44,70,57,49,100,72
419,R419,99,31,95,20,59,26,11
420,R420,34,71,86,79,25,32,76
421,R421,56,47,67,9,86,84,67
422,R422,25,44,11,1,82,87,52
423,R423,24,20,80,29,61,70,84
424,R424,45,97,5,17,46,82,71
425,R425,88,7,36,23,27,10,8
426,R426,32,89,40,90,60,95,68
427,R427,59,61,42,81,95,50,29
428,R428,92,66,90,81,1,97,29
429,R429,26,35,95,58,75,91,18
430,R430,46,68,87,86,9,42,63
431,R431,92,31,62,96,68,71,63
432,R432,43,24,32,24,86,52,51
433,R433,33,60,26,11,16,53,66
434,R434,96,6,46,51,27,57,73
435,R435,17,53,11,58,78,67,20
436,R436,97,8,83,82,87,93,8
437,R437,89,62,77,83,73,88,58
438,R438,2,11,41,4,7,66,53
439,R439,88,56,95,76,65,17,70
440,R440,10,96,25,5,17,65,71
441,R441,95,72,93,8,66,59,40
442,R442,87,86,70,70,94,75,34
443,R443,47,1,56,24,12,38,27
444,R444,7,78,15,18,90,85,84
445,R445,57,99,16,62,68,23,94
446,R446,56,25,13,61,3,58,60
447,R447,53,36,66,10,48,75,89
448,R448,64,88,19,59,24,62,57
449,R449,16,89,81,1,83,48,42
450,R450,45,96,16,95,76,60,79
451,R451,12,18,50,31,98,86,63
452,R452,70,4,59,58,97,44,85
453,R453,92,6,93,71,57,92,62
454,R454,75,34,39,95,53,52,41
455,R455,63,94,66,43,36,65,43
456,R456,94,62,28,76,24,29,20
457,R457,60,42,52,41,68,53,58
458,R458,62,49,32,52,1,58,72
459,R459,15,45,89,49,41,49,87
460,R460,49,55,44,19,36,54,17
461,R461,39,56,59,23,61,77,30
462,R462,40,50,69,28,4,25,41
463,R463,88,6,46,52,74,52,23
464,R464,54,49,77,24,27,86,10
465,R465,41,90,76,86,1,68,46
466,R466,100,88,15,84,53,21,8
467,R467,39,54,30,68,22,54,48
468,R468,4,63,93,31,2,54,76
469,R469,70,35,3,57,66,55,30
470,R470,95,88,22,81,97,22,59
471,R471,86,8,48,6,88,89,49
472,R472,63,15,50,45,55,73,49
473,R473,87,29,77,92,82,9,43
474,R474,42,1,27,70,41,85,40
475,R475,1,23,71,28,53,53,79
476,R476,86,2,97,98,8,9,97
477,R477,14,53,92,81,65,70,98
478,R478,15,8,33,57,37,36,27
479,R479,100,72,55,46,35,77,41
480,R480,16,79,77,31,35,68,32
481,R481,76,37,65,6,91,15,71
482,R482,72,90,83,59,34,88,21
483,R483,65,77,71,36,78,11,53
484,R484,79,67,21,25,97,18,15
485,R485,88,77,84,21,49,80,20
486,R486,62,26,60,7,63,48,1
487,R487,21,72,59,93,62,83,16
488,R488,90,85,23,70,3,96,36
489,R489,39,8,58,25,80,73,41
490,R490,32,63,25,7,76,38,17
491,R491,87,27,69,19,6,89,22
492,R492,98,24,60,88,79,15,16
493,R493,54,6,16,70,48,16,55
494,R494,38,34,20,72,57,71,25
495,R495,9,2,78,70,58,29,33
496,R496,77,15,56,54,19,35,84
497,R497,92,53,82,50,15,58,95
498,R498,66,90,97,98,77,85,7
499,R499,69,11,39,52,66,98,89
500,R500,62,7,38,61,96,34,18
501,R501,6,32,90,80,5,43,61
502,R502,7,98,83,56,7,86,83
503,R503,67,53,70,76,21,13,21
504,R504,2,70,98,65,84,18,43
505,R505,100,29,13,90,11,42,99
506,R506,60,65,85,12,12,5,4
507,R507,34,74,40,90,52,57,7
508,R508,97,100,77,96,86,74,20
509,R509,96,42,48,61,89,74,11
510,R510,9,24,14,69,96,66,57
511,R511,29,64,97,59,1,84,86
512,R512,25,62,86,10,86,26,33
513,R513,26,69,94,8,47,58,100
514,R514,18,28,39,44,10,30,16
515,R515,62,89,73,89,5,69,70
516,R516,11,37,83,93,26,19,25
517,R517,67,25,59,25,37,68,48
518,R518,46,76,48,6,26,9,78
519,R519,70,90,81,90,20,35,85
520,R520,33,1,27,62,56,10,93
521,R521,9,46,20,51,67,82,53
522,R522,62,5,6,63,65,73,43
523,R523,37,20,22,83,71,59,67
524,R524,14,9,25,53,26,59,35
525,R525,70,57,86,40,10,73,9
526,R526,82,34,6,52,35,24,10
527,R527,98,49,79,43,84,36,54
528,R528,73,2,82,61,14,72,72
529,R529,75,43,13,53,92,74,10
530,R530,93,62,22,92,74,54,21
531,R531,69,3,26,4,45,73,12
532,R532,83,49,28,67,51,35,60
533,R533,22,57,82,73,89,57,83
534,R534,51,57,32,37,35,35,54
535,R535,20,24,69,45,78,74,69
536,R536,51,10,72,98,32,12,84
537,R537,40,38,69,12,45,58,79
538,R538,28,31,85,39,65,81,63
539,R539,50,93,70,18,91,37,36
540,R540,9,18,94,22,47,31,48
541,R541,61,5,80,10,77,27,84
542,R542,37,79,67,66,76,98,88
543,R543,40,37,59,37,28,23,42
544,R544,39,100,12,89,95,17,90
545,R545,45,84,93,75,17,79,88
546,R546,10,81,1,14,61,18,31
547,R547,51,52,28,71,59,13,24
548,R548,38,86,4,1,57,100,46
549,R549,18,96,96,47,62,79,1
550,R550,3,33,3,83,80,97,6
551,R551,87,39,32,64,70,62,64
552,R552,35,90,16,52,36,63,5
553,R553,74,70,66,88,42,57,85
554,R554,94,65,18,64,63,46,60
555,R555,39,84,46,45,84,90,81
556,R556,36,7,88,82,5,93,62
557,R557,43,85,50,52,34,83,23
558,R558,55,59,74,35,2,50,70
559,R559,1,6,86,35,7,71,91
560,R560,51,29,70,22,69,87,50
561,R561,24,35,84,52,68,96,14
562,R562,89,5,24,21,30,22,42
563,R563,34,47,94,99,67,84,45
564,R564,75,49,35,61,84,100,3
565,R565,86,2,32,64,82,59,26
566,R566,1,34,60,73,37,97,80
567,R567,10,17,43,89,63,76,20
568,R568,97,39,3,57,41,27,100
569,R569,8,63,71,53,10,30,44
570,R570,43,3,52,31,94,61,72
571,R571,91,10,58,46,89,19,67
572,R572,21,39,60,2,32,21,34
573,R573,8,17,96,65,39,100,78
574,R574,78,58,85,10,17,32,8
575,R575,77,12,50,26,8,47,41
576,R576,7,76,25,90,23,11,37
577,R577,56,57,12,13,76,22,100
578,R578,80,88,94,83,80,89,73
579,R579,41,80,72,90,64,89,4
580,R580,39,47,26,89,7,46,25
581,R581,39,59,76,5,94,5,1
582,R582,55,39,62,3,24,42,20
583,R583,31,31,100,91,91,6,19
584,R584,55,16,64,67,39,32,2
585,R585,33,92,35,34,35,9,80
586,R586,50,27,58,69,40,100,11
587,R587,18,36,53,34,85,64,13
588,R588,28,29,48,43,96,85,65
589,R589,67,84,11,73,85,36,95
590,R590,3,49,100,83,57,88,37
591,R591,57,64,47,72,16,40,47
592,R592,77,31,55,67,62,76,4
593,R593,43,82,79,39,16,3,11
594,R594,36,95,63,99,85,44,50
595,R595,21,32,7,49,94,73,3
596,R596,22,80,35,92,5,9,36
597,R597,67,27,54,38,21,47,72
598,R598,18,3,9,54,37,17,20
599,R599,36,97,22,42,98,98,43
600,R600,1,23,56,18,41,77,85
601,R601,89,44,61,80,23,18,95
602,R602,60,91,16,39,88,13,45
603,R603,20,75,58,95,70,72,36
604,R604,2,72,89,17,15,82,82
605,R605,54,46,68,1,7,29,94
606,R606,27,69,66,100,96,76,100
607,R607,67,74,23,77,38,51,88
608,R608,95,31,80,16,84,75,35
609,R609,40,90,10,92,84,55,54
610,R610,2,50,19,36,59,7,38
611,R611,18,96,48,74,35,37,92
612,R612,56,43,13,85,23,6,8
613,R613,74,75,97,48,55,17,36
614,R614,24,72,38,27,44,43,20
615,R615,92,82,91,53,16,69,30
616,R616,92,49,49,94,12,99,61
617,R617,26,88,45,68,71,44,23
618,R618,19,72,69,79,43,87,58
619,R619,62,72,70,11,86,36,22
620,R620,36,51,61,40,4,81,69
621,R621,21,41,28,81,77,47,72
622,R622,18,76,22,71,94,40,10
623,R623,70,9,8,5,13,44,52
624,R624,7,96,21,98,39,92,62
625,R625,49,99,50,94,18,15,26
626,R626,59,72,42,36,66,33,23
627,R627,95,42,92,13,5,56,81
628,R628,26,15,30,64,6,57,7
629,R629,60,53,51,54,9,60,59
630,R630,73,31,66,39,82,40,11
631,R631,80,88,49,72,73,50,22
632,R632,87,8,56,55,85,3,40
633,R633,72,54,14,30,37,83,27
634,R634,57,15,24,87,87,26,11
635,R635,85,26,94,23,89,49,22
636,R636,10,58,76,38,88,46,69
637,R637,17,33,26,30,74,17,36
638,R638,26,48,47,68,26,47,62
639,R639,72,28,18,15,69,10,87
640,R640,70,75,14,33,64,99,28
641,R641,18,31,58,51,38,73,43
642,R642,29,11,11,71,51,50,68
643,R643,92,16,30,31,79,34,52
644,R644,71,70,49,73,39,29,89
645,R645,32,49,56,64,98,22,47
646,R646,13,21,29,8,67,29,50
647,R647,32,19,86,43,46,24,44
648,R648,21,87,98,8,54,77,77
649,R649,68,94,74,1,68,14,63
650,R650,18,100,38,91,31,64,21
651,R651,1,19,28,18,69,81,53
652,R652,42,24,2,91,49,49,30
653,R653,3,55,50,2,60,72,6
654,R654,62,39,66,88,76,81,29
655,R655,54,49,34,95,23,80,80
656,R656,53,23,85,46,5,14,100
657,R657,72,70,12,75,88,57,80
658,R658,99,30,29,32,75,64,32
659,R659,71,31,67,43,76,69,36
660,R660,33,45,41,48,96,8,87
661,R661,18,56,34,6,41,76,29
662,R662,31,7,70,50,90,11,17
663,R663,63,30,89,93,11,22,10
664,R664,17,70,1,31,80,74,95
665,R665,20,81,10,26,66,8,67
666,R666,70,19,85,71,45,35,5
667,R667,36,7,93,32,76,11,93
668,R668,21,89,38,81,80,91,41
669,R669,86,91,94,34,47,21,92
670,R670,93,98,75,63,97,1,100
671,R671,62,60,41,64,57,64,90
672,R672,38,72,18,80,53,16,5
673,R673,88,41,90,87,44,61,24
674,R674,39,100,90,70,6,68,69
675,R675,97,21,12,39,42,73,92
676,R676,80,83,37,91,74,8,15
677,R677,95,60,2,32,9,18,98
678,R678,76,17,13,94,15,78,84
679,R679,37,8,73,32,97,31,25
680,R680,10,88,40,58,40,68,69
681,R681,29,96,100,43,33,54,36
682,R682,29,69,61,30,56,85,71
683,R683,5,39,73,4,75,28,44
684,R684,78,95,73,9,52,30,66
685,R685,90,59,17,43,25,37,4
686,R686,33,52,22,74,82,74,28
687,R687,73,98,72,12,28,64,10
688,R688,97,79,31,12,75,59,26
689,R689,35,43,22,86,51,27,52
690,R690,100,8,22,26,17,10,28
691,R691,52,43,73,87,74,82,35
692,R692,99,83,19,78,84,4,90
693,R693,49,38,2,9,66,29,33
694,R694,42,65,2,11,42,5,67
695,R695,16,10,80,19,91,6,14
696,R696,15,30,59,43,95,98,36
697,R697,14,28,38,44,61,82,18
698,R698,70,23,1,59,51,24,90
699,R699,45,50,92,47,11,30,90
700,R700,1,77,46,85,29,7,17
701,R701,11,73,6,100,48,83,34
702,R702,52,72,4,82,86,28,50
703,R703,100,87,32,22,52,12,62
704,R704,19,49,56,42,60,46,57
705,R705,12,80,21,99,15,19,19
706,R706,14,69,42,50,20,31,69
707,R707,100,82,72,44,31,43,64
708,R708,89,53,59,85,37,20,100
709,R709,13,100,37,99,73,12,37
710,R710,96,39,41,19,10,71,69
711,R711,89,31,21,52,24,50,73
712,R712,98,56,6,69,79,70,69
713,R713,97,26,50,18,66,12,49
714,R714,35,60,73,2,5,45,89
715,R715,10,89,68,62,62,85,83
716,R716,80,47,40,12,85,15,15
717,R717,89,33,16,24,3,3,64
718,R718,49,91,2,42,36,51,71
719,R719,5,51,18,15,53,100,30
720,R720,73,87,75,30,61,60,91
721,R721,56,30,17,47,9,59,91
722,R722,31,98,9,73,97,70,34
723,R723,93,43,69,39,94,99,9
724,R724,1,39,49,99,100,25,32
725,R725,84,37,46,85,40,9,60
726,R726,54,4,3,65,21,57,25
727,R727,78,47,19,48,73,61,70
728,R728,97,100,49,71,100,65,98
