id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
100,R100,94,9,74,34,28
101,R101,35,31,30,39,59
102,R102,56,74,95,70,76
103,R103,34,57,59,8,33
104,R104,61,44,4,32,7
105,R105,63,48,32,45,50
106,R106,26,27,32,99,5
107,R107,96,96,10,63,16
108,R108,50,97,82,61,54
109,R109,45,98,69,88,31
110,R110,88,48,92,53,70
111,R111,51,18,35,64,18
112,R112,80,81,7,10,99
113,R113,69,29,3,98,85
114,R114,47,60,97,83,74
115,R115,86,72,75,26,55
116,R116,49,46,4,37,31
117,R117,3,36,67,15,1
118,R118,26,68,45,58,41
119,R119,28,2,8,40,26
120,R120,74,96,18,1,63
121,R121,89,49,4,60,20
122,R122,80,21,45,13,65
123,R123,29,50,83,72,9
124,R124,20,98,97,99,88
125,R125,43,42,43,43,26
126,R126,11,30,41,35,56
127,R127,75,22,98,71,33
128,R128,92,5,83,20,89
129,R129,50,40,13,59,6
130,R130,88,5,36,12,86
131,R131,52,27,77,29,38
132,R132,24,97,79,74,47
133,R133,18,73,81,22,57
134,R134,21,8,34,97,14
135,R135,48,31,72,28,46
136,R136,78,4,65,42,93
137,R137,83,94,9,98,21
138,R138,22,6,90,21,94
139,R139,29,47,2,69,26
140,R140,74,78,34,52,77
141,R141,37,6,80,44,79
142,R142,95,69,22,8,99
143,R143,3,55,5,88,31
144,R144,59,59,20,90,100
145,R145,61,5,86,27,78
146,R146,57,69,93,93,39
147,R147,78,8,52,10,56
148,R148,50,31,57,35,7
149,R149,85,69,100,15,88
150,R150,11,92,40,94,86
151,R151,23,32,92,38,49
152,R152,35,16,8,33,84
153,R153,99,7,58,99,58
154,R154,15,50,76,26,1
155,R155,45,18,5,93,97
156,R156,42,60,82,83,93
157,R157,62,38,71,5,39
158,R158,93,90,77,63,72
159,R159,13,54,93,79,94
160,R160,60,60,75,54,6
161,R161,77,21,50,45,25
162,R162,35,19,67,26,34
163,R163,6,46,34,37,24
164,R164,72,19,3,95,13
165,R165,47,95,14,22,66
166,R166,85,87,36,84,36
167,R167,75,33,56,16,53
168,R168,42,100,3,65,59
169,R169,49,13,62,89,94
170,R170,28,38,69,80,82
171,R171,89,63,3,91,71
172,R172,8,45,64,49,47
173,R173,63,12,69,38,76
174,R174,69,92,50,76,20
175,R175,34,40,52,60,57
176,R176,62,69,74,53,57
177,R177,19,61,80,8,39
178,R178,60,51,30,53,32
179,R179,5,50,12,18,30
180,R180,65,64,80,28,14
181,R181,55,13,26,6,34
182,R182,12,19,67,2,62
183,R183,2,35,27,95,6
184,R184,82,15,76,69,41
185,R185,77,28,58,60,45
186,R186,37,85,22,52,70
187,R187,42,83,26,16,72
188,R188,10,25,92,24,97
189,R189,26,56,21,1,88
190,R190,69,8,68,39,99
191,R191,60,64,43,72,13
192,R192,96,7,29,73,64
193,R193,33,55,41,8,37
194,R194,56,32,26,68,47
195,R195,27,66,55,63,23
196,R196,36,64,45,50,40
197,R197,24,18,53,24,99
198,R198,79,33,9,88,96
199,R199,46,46,41,91,23
200,R200,19,46,77,17,89
201,R201,98,8,15,100,3
202,R202,79,73,41,18,50
203,R203,49,100,73,89,92
204,R204,76,6,70,52,59
205,R205,98,72,36,49,56
206,R206,39,40,18,3,30
207,R207,21,27,47,42,91
208,R208,47,32,50,75,6
209,R209,40,41,20,59,23
210,R210,13,58,28,53,34
211,R211,23,50,16,79,39
212,R212,7,62,96,63,59
213,R213,79,31,88,33,84
214,R214,59,79,57,57,85
215,R215,78,24,93,37,55
216,R216,35,80,21,25,15
217,R217,96,40,1,76,70
218,R218,66,37,12,72,19
219,R219,11,83,82,7,10
220,R220,46,64,87,29,26
221,R221,91,3,96,34,49
222,R222,70,31,46,25,81
223,R223,57,83,21,60,72
224,R224,23,1,77,19,81
225,R225,96,96,7,48,17
226,R226,37,64,97,57,43
227,R227,25,80,42,94,4
228,R228,85,17,42,70,68
229,R229,39,83,41,65,36
230,R230,67,6,65,41,92
231,R231,32,1,53,16,22
232,R232,5,23,26,2,33
233,R233,61,48,91,5,88
234,R234,74,31,74,83,36
235,R235,21,66,50,91,91
236,R236,92,14,84,60,41
237,R237,96,39,49,8,41
238,R238,83,79,46,21,69
239,R239,32,43,63,27,69
240,R240,98,48,1,77,55
241,R241,50,21,97,89,16
242,R242,48,98,12,11,61
243,R243,96,32,74,65,15
244,R244,86,25,19,98,64
245,R245,53,47,46,63,99
246,R246,32,54,71,45,24
247,R247,43,76,77,61,67
248,R248,26,25,72,77,55
249,R249,81,60,13,9,35
250,R250,57,15,41,18,76
251,R251,69,43,44,63,26
252,R252,39,87,6,22,45
253,R253,98,78,96,83,4
254,R254,54,57,73,45,92
255,R255,50,14,33,57,29
256,R256,40,81,44,15,85
257,R257,21,38,46,41,12
258,R258,28,52,20,74,98
259,R259,73,75,23,17,11
260,R260,26,1,10,17,36
261,R261,19,85,98,96,40
262,R262,45,15,50,23,55
263,R263,74,99,28,72,66
264,R264,7,76,57,20,41
265,R265,68,30,85,28,97
266,R266,96,33,67,91,97
267,R267,87,28,62,9,100
268,R268,95,64,47,69,46
269,R269,53,83,84,71,43
270,R270,93,46,99,1,100
271,R271,35,35,69,61,81
272,R272,71,30,38,43,55
273,R273,86,39,84,52,60
274,R274,30,77,53,32,30
275,R275,58,93,86,83,12
276,R276,15,56,60,62,26
277,R277,93,1,86,89,21
278,R278,33,4,92,4,99
279,R279,88,59,56,90,60
280,R280,89,78,79,11,67
281,R281,27,40,61,96,22
282,R282,91,84,27,69,30
283,R283,39,19,99,87,54
284,R284,66,94,54,66,54
285,R285,8,6,51,47,68
286,R286,65,76,98,78,45
287,R287,38,27,7,47,96
288,R288,32,11,60,81,61
289,R289,61,37,81,70,5
290,R290,10,84,75,77,2
291,R291,3,95,99,29,32
292,R292,76,8,9,24,57
293,R293,71,89,35,82,55
294,R294,91,31,48,3,66
295,R295,78,82,21,44,86
296,R296,63,27,22,28,96
297,R297,11,23,47,92,58
298,R298,77,84,6,43,37
299,R299,66,95,23,26,9
300,R300,5,26,80,70,65
301,R301,83,64,70,22,58
302,R302,32,90,43,16,68
303,R303,46,99,28,3,88
304,R304,43,71,10,93,83
305,R305,23,87,2,44,97
306,R306,35,74,97,33,70
307,R307,76,9,5,93,32
308,R308,32,82,48,43,6
309,R309,17,57,63,55,31
310,R310,60,65,94,32,37
311,R311,16,44,17,44,44
312,R312,99,93,37,47,62
313,R313,70,78,8,80,74
314,R314,37,90,30,95,62
315,R315,77,8,28,100,45
316,R316,99,71,39,51,50
317,R317,94,4,21,68,10
318,R318,54,82,46,38,34
319,R319,98,64,18,40,25
320,R320,51,62,81,86,71
321,R321,99,46,11,26,54
322,R322,16,23,24,9,80
323,R323,22,73,100,33,94
324,R324,70,38,97,99,67
325,R325,70,35,16,66,81
326,R326,9,70,75,66,20
327,R327,58,78,42,69,82
328,R328,44,13,7,54,20
329,R329,73,45,71,13,80
330,R330,99,42,7,54,19
331,R331,77,86,1,89,8
332,R332,72,19,73,86,32
333,R333,96,85,60,4,44
334,R334,87,57,31,7,61
335,R335,17,36,37,30,3
336,R336,45,6,4,59,34
337,R337,78,77,47,94,63
338,R338,26,47,57,76,46
339,R339,58,54,45,95,36
340,R340,3,36,25,17,67
341,R341,33,42,69,37,71
342,R342,64,24,72,94,94
343,R343,57,41,37,10,71
344,R344,42,62,38,73,72
345,R345,78,12,50,59,21
346,R346,29,45,7,65,100
347,R347,93,7,60,49,60
348,R348,97,32,84,3,27
349,R349,78,37,69,91,57
350,R350,62,65,100,44,42
351,R351,90,14,96,51,14
352,R352,1,99,5,18,4
353,R353,91,36,36,5,73
354,R354,11,57,51,60,85
355,R355,94,83,57,87,47
356,R356,68,95,16,44,74
357,R357,85,38,34,80,13
358,R358,64,94,30,90,40
359,R359,19,69,71,92,80
360,R360,34,9,86,74,23
361,R361,89,4,26,34,77
362,R362,37,40,15,62,66
363,R363,64,70,9,40,6
364,R364,50,69,12,82,61
365,R365,60,89,99,64,60
366,R366,85,34,58,87,83
367,R367,28,22,80,87,3
368,R368,38,34,59,37,42
369,R369,78,92,39,58,23
370,R370,49,76,84,99,46
371,R371,45,48,43,3,21
372,R372,63,84,46,60,34
373,R373,12,10,34,8,35
374,R374,32,42,82,68,12
375,R375,22,11,28,88,16
376,R376,97,6,87,84,20
377,R377,22,68,67,91,51
378,R378,21,54,17,65,5
379,R379,26,97,10,75,69
380,R380,99,87,43,100,64
381,R381,43,98,45,13,63
382,R382,60,79,98,33,1
383,R383,85,10,3,2,60
384,R384,81,76,50,36,9
385,R385,73,34,8,71,8
386,R386,98,66,40,62,27
387,R387,94,41,6,15,26
388,R388,63,23,22,33,11
389,R389,5,15,57,43,80
390,R390,54,48,30,2,4
391,R391,61,86,73,24,30
392,R392,15,62,65,40,26
393,R393,79,51,6,15,32
394,R394,2,21,90,50,97
395,R395,3,18,9,18,20
396,R396,5,68,26,55,26
397,R397,42,40,80,55,75
398,R398,34,14,19,98,33
399,R399,99,6,19,57,15
400,R400,71,28,29,53,15
401,R401,58,47,88,83,52
402,R402,96,51,67,69,78
403,R403,64,34,19,28,55
404,R404,23,31,70,7,94
405,R405,66,7,46,23,87
406,R406,44,83,80,68,75
407,R407,44,75,16,100,70
408,R408,28,6,40,94,11
409,R409,77,29,28,24,24
410,R410,64,15,53,60,13
411,R411,55,22,91,25,67
412,R412,82,23,74,76,31
413,R413,70,21,45,1,19
414,R414,60,81,18,57,79
415,R415,3,45,52,21,3
416,R416,75,71,45,30,48
417,R417,90,50,65,1,87
418,R418,43,83,53,26,31
419,R419,44,54,24,77,66
420,R420,60,2,65,62,46
421,R421,12,11,69,80,41
422,R422,48,39,6,26,11
423,R423,57,48,94,35,26
424,R424,51,57,75,57,98
425,R425,23,42,90,15,21
426,R426,78,74,59,91,63
427,R427,9,16,52,95,77
428,R428,94,41,1,5,21
429,R429,82,12,4,18,23
430,R430,76,98,61,35,30
431,R431,73,88,54,41,89
432,R432,35,60,7,68,74
433,R433,47,74,53,98,26
434,R434,29,56,21,66,71
435,R435,85,66,33,16,17
436,R436,39,45,52,83,9
437,R437,12,88,1,96,46
438,R438,8,72,5,14,22
439,R439,74,76,8,72,87
440,R440,59,16,45,47,80
441,R441,45,46,95,71,90
442,R442,2,96,76,71,42
443,R443,94,52,59,12,88
444,R444,71,30,12,57,41
445,R445,55,43,91,12,45
446,R446,38,94,93,59,86
447,R447,50,60,88,30,9
448,R448,92,87,26,36,39
449,R449,25,71,70,41,60
450,R450,82,32,84,21,20
451,R451,34,80,83,18,44
452,R452,52,69,78,28,49
453,R453,73,53,92,88,96
454,R454,62,2,30,25,37
455,R455,86,30,25,9,62
456,R456,29,87,37,50,47
457,R457,34,6,46,25,25
458,R458,72,25,16,91,4
459,R459,73,71,91,1,90
460,R460,12,91,83,100,79
461,R461,28,5,78,63,88
462,R462,85,34,64,90,36
463,R463,41,33,46,26,94
464,R464,79,49,1,34,61
465,R465,96,10,84,94,36
466,R466,82,33,11,59,66
467,R467,30,9,41,49,91
468,R468,26,40,44,44,9
469,R469,24,58,59,89,35
470,R470,15,26,22,26,51
471,R471,49,32,64,23,6
472,R472,17,20,33,97,63
473,R473,29,29,5,62,47
474,R474,56,54,39,7,74
475,R475,24,18,34,94,27
476,R476,18,69,30,50,86
477,R477,11,58,54,99,28
478,R478,3,32,27,43,35
479,R479,45,6,70,7,41
480,R480,35,98,15,83,76
481,R481,19,50,35,76,22
482,R482,53,93,6,36,70
483,R483,99,85,56,1,1
484,R484,53,77,53,23,70
485,R485,3,94,84,66,79
486,R486,19,70,100,89,23
487,R487,14,54,10,91,2
488,R488,83,23,70,27,48
489,R489,36,64,17,87,89
490,R490,78,90,19,77,10
491,R491,27,49,89,49,8
492,R492,92,3,51,7,15
493,R493,91,98,16,32,30
494,R494,60,45,19,88,20
495,R495,22,15,18,22,25
496,R496,92,40,72,81,72
497,R497,91,26,31,8,3
498,R498,3,97,69,88,5
499,R499,14,46,43,55,29
500,R500,36,14,42,38,97
501,R501,40,68,92,57,16
502,R502,96,53,75,99,26
503,R503,80,39,27,76,100
504,R504,50,4,80,16,41
505,R505,9,41,31,67,70
506,R506,47,90,4,64,6
507,R507,13,68,9,13,53
508,R508,87,35,14,70,90
509,R509,1,63,86,85,86
510,R510,70,79,12,76,67
511,R511,57,53,44,57,54
512,R512,53,6,38,56,30
513,R513,7,77,48,72,40
514,R514,62,32,45,1,2
515,R515,99,88,41,29,8
516,R516,47,7,10,3,81
517,R517,91,9,1,30,33
518,R518,78,65,39,6,58
519,R519,45,53,93,25,44
520,R520,53,100,52,64,4
521,R521,87,29,8,1,82
522,R522,42,84,68,83,4
523,R523,77,22,44,90,28
524,R524,85,74,45,44,71
525,R525,9,84,73,8,56
526,R526,87,69,39,82,61
527,R527,50,52,9,42,81
528,R528,63,19,59,56,15
529,R529,3,99,23,70,8
530,R530,98,84,51,8,70
531,R531,7,40,75,18,33
532,R532,46,91,80,74,100
533,R533,23,97,21,22,64
534,R534,8,84,99,80,8
535,R535,43,40,39,84,77
536,R536,48,24,59,63,93
537,R537,62,14,95,99,91
538,R538,1,17,1,67,5
539,R539,28,96,21,59,58
540,R540,68,85,60,24,61
541,R541,50,24,85,16,94
542,R542,91,73,70,56,98
543,R543,54,14,67,85,52
544,R544,81,26,86,87,9
545,R545,78,83,50,23,89
546,R546,42,94,34,92,38
547,R547,62,65,47,27,56
548,R548,27,90,59,14,99
549,R549,38,12,37,94,94
550,R550,46,42,59,52,60
551,R551,77,44,84,53,43
552,R552,47,42,47,49,91
553,R553,4,63,82,6,2
554,R554,21,79,92,32,42
555,R555,63,23,72,26,35
556,R556,61,38,36,69,85
557,R557,96,3,28,44,53
558,R558,60,14,68,72,7
559,R559,4,38,46,37,62
560,R560,76,3,81,85,94
561,R561,70,96,76,76,37
562,R562,40,41,97,8,57
563,R563,53,38,17,10,96
564,R564,67,18,69,96,42
565,R565,28,4,45,17,81
566,R566,47,50,34,27,44
567,R567,62,22,69,15,26
568,R568,57,44,20,56,21
569,R569,62,11,81,20,20
570,R570,29,43,72,2,39
571,R571,14,94,87,24,47
572,R572,45,66,27,57,76
573,R573,80,21,93,88,22
574,R574,83,82,79,92,80
575,R575,10,92,41,82,51
576,R576,78,1,53,34,11
577,R577,3,10,44,40,100
578,R578,60,54,53,63,80
579,R579,89,35,90,74,89
580,R580,19,49,30,73,65
581,R581,75,61,61,45,34
582,R582,90,25,85,50,69
583,R583,31,72,4,26,8
584,R584,81,75,65,91,75
585,R585,38,20,49,3,13
586,R586,89,20,89,80,97
587,R587,63,54,3,41,61
588,R588,57,12,17,94,95
589,R589,8,44,56,44,12
590,R590,72,97,54,3,58
591,R591,76,83,38,23,29
592,R592,67,72,94,57,12
593,R593,79,37,51,56,56
594,R594,58,58,37,1,82
595,R595,62,6,89,36,4
596,R596,48,68,24,23,3
597,R597,49,18,10,74,75
598,R598,62,42,24,57,16
599,R599,87,39,8,25,69
600,R600,49,66,65,5,54
601,R601,68,28,32,21,92
602,R602,19,23,42,98,55
603,R603,28,98,49,31,18
604,R604,35,57,21,44,87
605,R605,28,30,7,76,61
606,R606,64,81,18,31,7
607,R607,66,79,42,82,28
608,R608,13,52,65,6,8
609,R609,19,74,51,56,97
610,R610,22,14,85,25,12
611,R611,88,35,81,90,83
612,R612,16,35,58,84,61
613,R613,34,13,36,76,29
614,R614,56,92,58,65,72
615,R615,70,67,79,39,58
616,R616,58,93,25,15,76
617,R617,49,85,11,94,70
618,R618,6,100,32,63,53
619,R619,91,1,78,77,76
620,R620,21,26,38,55,13
621,R621,64,98,25,80,62
622,R622,54,53,56,36,4
623,R623,63,21,53,43,17
624,R624,73,50,75,64,87
625,R625,68,95,50,32,37
626,R626,90,14,14,98,80
627,R627,68,40,34,63,14
628,R628,6,60,65,34,66
629,R629,100,4,32,95,68
630,R630,52,88,65,63,29
631,R631,18,7,31,13,16
632,R632,42,59,18,16,37
633,R633,38,60,5,83,65
634,R634,49,40,18,57,29
635,R635,51,78,2,21,84
636,R636,64,66,88,16,84
637,R637,91,100,78,7,17
638,R638,100,4,97,92,60
639,R639,11,60,55,59,11
640,R640,88,74,86,48,86
641,R641,79,63,76,67,83
642,R642,17,76,39,4,35
643,R643,98,86,78,37,49
644,R644,96,61,22,83,83
645,R645,77,38,46,4,69
646,R646,59,86,92,54,11
647,R647,58,70,62,48,63
648,R648,4,92,80,29,17
649,R649,79,96,40,37,21
650,R650,24,1,26,89,77
651,R651,10,71,6,20,64
652,R652,89,24,72,29,88
653,R653,47,74,76,93,26
654,R654,39,43,93,92,46
655,R655,83,88,13,70,42
656,R656,44,52,66,57,56
657,R657,52,5,33,24,24
658,R658,56,31,23,54,58
659,R659,64,52,19,98,59
660,R660,14,43,98,22,74
661,R661,4,76,82,38,6
662,R662,8,100,56,95,89
663,R663,73,39,90,25,36
664,R664,79,85,10,73,75
665,R665,52,67,18,59,86
666,R666,74,84,40,61,5
667,R667,50,79,40,63,55
668,R668,6,62,46,39,71
669,R669,87,29,95,36,34
670,R670,97,47,72,35,73
671,R671,97,44,56,25,61
672,R672,67,45,46,23,59
673,R673,62,96,16,23,7
674,R674,63,81,83,39,41
675,R675,79,66,28,70,93
676,R676,92,21,61,35,67
677,R677,78,10,27,2,17
678,R678,88,98,94,25,93
679,R679,97,55,29,36,1
680,R680,14,38,33,27,10
681,R681,37,82,59,34,13
682,R682,96,87,69,84,46
683,R683,81,14,64,43,53
684,R684,83,87,51,38,27
685,R685,22,47,70,19,36
686,R686,97,94,83,94,12
687,R687,62,87,28,63,96
688,R688,32,79,68,54,79
689,R689,43,18,87,30,65
690,R690,23,12,96,90,25
691,R691,81,48,98,97,9
692,R692,91,34,100,41,36
693,R693,7,20,33,96,33
694,R694,27,79,90,5,81
695,R695,48,91,95,56,86
696,R696,91,24,67,3,12
697,R697,90,59,36,18,15
698,R698,69,69,59,26,17
699,R699,56,81,67,49,5
700,R700,75,84,23,76,53
701,R701,63,55,20,38,38
702,R702,46,82,8,51,8
703,R703,11,50,54,93,42
704,R704,84,98,80,46,35
705,R705,28,22,67,31,5
706,R706,8,47,26,50,45
707,R707,31,1,51,63,4
708,R708,76,33,68,95,88
709,R709,42,97,7,37,5
710,R710,80,56,92,73,64
711,R711,82,21,1,98,41
712,R712,39,100,45,2,83
713,R713,7,55,5,97,81
714,R714,99,62,30,2,7
715,R715,34,47,48,99,30
716,R716,3,2,89,99,95
717,R717,85,22,98,63,85
718,R718,49,84,45,67,32
719,R719,48,44,19,52,35
720,R720,12,30,84,78,80
721,R721,47,89,45,12,93
722,R722,11,87,9,7,31
723,R723,49,37,42,85,44
724,R724,87,32,6,35,97
725,R725,10,11,99,55,99
726,R726,91,64,89,5,31
727,R727,5,32,77,30,97
728,R728,82,100,61,22,94
729,R729,8,71,9,12,5
730,R730,76,51,2,23,25
731,R731,16,46,46,100,60
732,R732,77,79,41,80,88
733,R733,51,77,99,54,39
734,R734,30,80,74,75,71
735,R735,19,92,39,74,28
736,R736,47,3,15,55,74
737,R737,20,5,72,82,19
738,R738,99,60,91,30,25
739,R739,47,1,52,24,63
740,R740,52,50,75,52,1
741,R741,100,50,47,88,46
742,R742,10,100,92,60,60
743,R743,37,41,58,87,50
744,R744,52,35,42,97,29
745,R745,46,9,78,13,4
746,R746,50,19,24,45,67
747,R747,96,6,61,18,12
748,R748,37,63,95,16,59
749,R749,91,3,77,94,67
750,R750,75,37,10,73,70
751,R751,99,53,95,4,59
752,R752,31,37,23,57,22
753,R753,14,74,61,61,72
754,R754,50,16,16,98,4
755,R755,39,3,52,74,88
756,R756,61,57,43,33,98
757,R757,63,62,31,32,99
758,R758,52,32,11,68,86
759,R759,55,71,46,85,28
760,R760,32,9,69,21,55
761,R761,59,11,37,93,87
762,R762,13,88,17,24,36
763,R763,39,8,67,93,72
764,R764,73,70,46,72,59
765,R765,3,91,36,97,97
766,R766,70,1,76,69,23
767,R767,24,8,57,81,8
768,R768,70,27,57,4,88
769,R769,60,47,30,31,91
770,R770,79,82,6,67,64
771,R771,11,55,7,11,92
772,R772,30,38,74,61,69
773,R773,91,79,50,2,11
774,R774,37,69,12,82,90
775,R775,84,79,13,49,85
776,R776,76,56,60,93,2
777,R777,57,54,38,24,14
778,R778,72,77,60,42,1
779,R779,13,12,79,19,16
780,R780,91,58,71,32,19
781,R781,86,86,75,54,9
782,R782,83,15,87,1,20
783,R783,47,33,38,70,90
784,R784,20,42,83,20,75
785,R785,29,19,56,47,49
786,R786,67,28,43,8,70
787,R787,6,19,59,46,58
788,R788,92,33,36,37,73
789,R789,4,87,24,79,72
790,R790,59,34,13,9,93
791,R791,17,20,32,71,28
792,R792,7,56,6,82,57
793,R793,42,65,74,90,61
794,R794,58,37,11,47,53
795,R795,12,77,79,17,4
796,R796,98,97,72,66,47
797,R797,40,65,10,30,61
798,R798,68,79,21,27,84
799,R799,32,92,48,35,68
800,R800,17,26,11,92,65
801,R801,73,50,96,75,70
802,R802,96,38,49,1,64
803,R803,50,85,25,2,38
804,R804,67,2,57,48,37
805,R805,97,13,91,84,89
806,R806,90,98,32,45,49
807,R807,81,85,42,32,77
808,R808,47,26,20,33,85
809,R809,15,95,17,71,95
810,R810,79,42,91,91,26
811,R811,66,83,93,21,36
812,R812,47,98,79,70,29
813,R813,55,27,9,94,56
814,R814,8,54,62,27,60
815,R815,8,76,84,65,91
816,R816,26,94,13,46,4
817,R817,43,70,19,96,8
818,R818,56,70,72,86,10
819,R819,9,1,53,64,21
820,R820,21,74,80,28,77
821,R821,100,68,71,74,51
822,R822,52,80,33,28,32
823,R823,55,78,100,83,47
824,R824,18,96,83,21,82
825,R825,21,66,46,7,30
826,R826,24,85,18,14,42
827,R827,38,91,67,65,24
828,R828,31,90,66,86,98
829,R829,14,98,66,75,92
830,R830,96,78,70,18,20
831,R831,28,98,70,90,65
832,R832,12,55,24,22,80
833,R833,25,62,73,41,80
834,R834,9,10,86,69,78
835,R835,3,42,53,96,68
836,R836,81,100,19,76,53
837,R837,22,76,51,38,61
838,R838,98,82,53,13,15
839,R839,88,77,55,66,94
840,R840,19,75,56,51,80
841,R841,9,2,63,37,3
842,R842,36,36,12,77,67
843,R843,82,97,92,100,86
844,R844,3,97,92,66,83
845,R845,2,20,71,65,48
846,R846,65,18,72,34,45
847,R847,42,53,44,55,42
848,R848,77,37,13,59,29
849,R849,75,14,10,72,15
850,R850,46,30,10,72,73
851,R851,52,81,2,79,39
852,R852,98,51,26,99,85
853,R853,88,20,95,62,69
854,R854,37,20,3,9,96
855,R855,96,82,1,34,39
856,R856,99,61,51,16,55
857,R857,61,66,58,65,20
858,R858,42,77,75,93,31
859,R859,93,38,14,56,68
860,R860,61,54,40,93,41
861,R861,46,23,75,66,22
862,R862,81,45,1,97,12
863,R863,65,79,66,72,70
864,R864,53,94,31,41,25
865,R865,42,99,39,99,94
866,R866,49,96,23,77,69
867,R867,92,29,28,16,77
868,R868,54,78,70,51,5
869,R869,60,79,74,65,46
870,R870,13,32,96,99,19
871,R871,32,72,70,40,95
872,R872,74,30,17,42,87
873,R873,43,45,47,59,34
874,R874,85,83,59,99,87
875,R875,99,27,80,12,56
876,R876,65,66,61,95,43
877,R877,63,6,94,41,61
878,R878,79,47,9,53,72
879,R879,42,60,49,55,56
880,R880,84,50,23,20,51
881,R881,13,39,62,93,98
882,R882,37,31,85,66,99
883,R883,93,75,82,55,41
884,R884,17,44,81,58,29
885,R885,23,61,82,9,88
886,R886,38,87,66,2,100
887,R887,19,33,64,57,7
888,R888,45,60,21,56,74
889,R889,46,24,38,97,88
890,R890,1,56,45,11,44
891,R891,60,49,21,83,83
892,R892,36,80,14,19,13
893,R893,91,73,39,78,61
894,R894,99,77,66,78,34
895,R895,64,89,65,10,44
896,R896,53,3,61,21,87
897,R897,27,74,35,78,7
898,R898,100,13,91,50,53
899,R899,89,68,17,5,18
900,R900,38,53,94,80,83
901,R901,87,48,53,22,77
902,R902,23,11,77,32,7
903,R903,1,47,20,57,7
904,R904,71,98,99,84,1
905,R905,94,5,32,98,5
906,R906,67,93,67,23,72
907,R907,62,85,61,91,92
908,R908,24,89,47,7,64
909,R909,70,45,31,56,66
910,R910,58,38,38,94,55
911,R911,22,30,26,9,19
912,R912,100,50,55,84,61
913,R913,28,28,16,77,48
914,R914,16,69,27,28,96
915,R915,57,95,59,31,56
916,R916,11,22,76,7,5
917,R917,3,68,73,58,12
918,R918,3,45,73,47,88
919,R919,72,69,75,53,34
920,R920,51,12,72,79,85
921,R921,95,62,50,37,13
922,R922,62,66,24,69,25
923,R923,25,51,46,57,95
924,R924,64,75,49,97,25
925,R925,21,12,20,77,35
926,R926,20,62,47,77,68
