id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
140,R140,3746,105,19,1056,142,2711,136,223,160,1526
141,R141,3776,339,16,388,241,2591,90,215,132,4889
142,R142,3675,185,7,947,207,33,153,234,139,718
143,R143,3552,228,21,1000,64,5458,73,178,89,4236
144,R144,3444,169,27,696,260,5096,243,173,243,4424
145,R145,3356,16,34,382,35,4320,230,214,79,4804
146,R146,2393,30,29,1173,359,4459,139,254,154,3971
147,R147,2711,294,16,1209,217,5425,232,146,36,4861
148,R148,2550,189,25,1063,218,5152,250,231,167,2496
149,R149,3119,346,25,150,118,877,252,139,108,5112
150,R150,2826,169,2,296,43,5156,236,179,134,3726
151,R151,3245,49,13,1097,68,1147,212,205,93,815
152,R152,2452,251,33,499,199,5144,212,235,155,2920
153,R153,2681,88,33,1021,275,2256,225,126,95,4050
154,R154,2464,132,43,1093,-66,2606,80,129,199,3645
155,R155,3027,212,39,664,221,4216,128,245,125,1677
156,R156,2808,227,40,101,418,2089,126,133,34,1612
157,R157,2631,252,5,988,-57,3294,164,130,187,2262
158,R158,3117,306,32,1075,-26,3570,139,177,140,1923
159,R159,3341,26,43,967,72,806,114,190,34,2176
160,R160,3658,38,5,1025,212,4771,117,174,177,1992
161,R161,3822,137,10,1151,12,4255,179,250,201,1435
162,R162,2622,182,31,391,-6,5087,139,247,6,1792
163,R163,2408,97,41,937,369,2724,94,164,44,812
164,R164,2598,349,12,417,274,3639,91,154,109,1715
165,R165,2462,123,21,1194,22,4508,142,208,234,5557
166,R166,2935,41,13,712,-16,4898,231,154,217,4818
167,R167,2780,250,19,362,370,2912,190,229,90,5500
168,R168,3035,155,41,697,76,2049,194,130,139,2166
169,R169,2653,297,35,579,281,4124,223,129,11,870
170,R170,2241,303,10,1022,175,4940,133,151,218,3618
171,R171,3170,9,32,500,296,4641,208,222,209,4662
172,R172,2081,138,26,1022,302,5234,216,178,75,3732
173,R173,3448,208,10,570,299,1818,178,197,221,5634
174,R174,3090,11,16,411,308,1943,242,188,177,800
175,R175,1920,10,17,427,133,4444,178,203,108,2236
176,R176,3055,341,26,285,205,2718,224,250,57,2253
177,R177,2390,38,32,269,137,432,102,241,146,1448
178,R178,3603,348,10,726,-24,2971,192,213,236,5118
179,R179,3680,3,37,786,241,4071,166,252,58,358
180,R180,3427,207,16,162,-64,1974,113,135,2,669
181,R181,1999,161,17,593,141,3083,250,158,218,3714
182,R182,2755,276,10,535,293,5426,208,226,229,3410
183,R183,3537,155,3,50,180,4774,214,231,224,282
184,R184,2254,347,28,295,-83,1918,113,128,134,4418
185,R185,3834,124,16,589,66,5442,166,191,50,1471
186,R186,2572,176,33,436,381,1965,92,237,208,2861
187,R187,2635,356,33,1175,338,2680,151,253,84,4490
188,R188,3263,268,12,874,-47,5068,109,200,16,5048
189,R189,2429,78,16,389,363,4827,213,133,215,5457
190,R190,2898,334,25,724,294,894,75,127,143,3569
191,R191,2225,206,34,762,277,4662,252,163,126,4650
192,R192,2669,188,38,400,9,3124,199,136,41,5723
193,R193,2312,121,39,396,-21,4701,241,177,240,1542
194,R194,3815,304,13,1107,255,2321,119,146,130,4574
195,R195,2804,274,14,154,361,4114,123,230,193,3957
196,R196,3512,263,32,430,92,4686,79,251,142,623
197,R197,2117,118,43,687,-60,5192,73,144,175,2164
198,R198,2726,17,0,503,269,4154,204,194,6,758
199,R199,2484,154,14,398,348,3934,250,190,88,2458
200,R200,3162,114,0,426,110,5185,115,206,176,210
201,R201,3788,38,35,1130,-27,2993,171,138,15,2202
202,R202,3853,345,0,16,327,1797,158,242,210,812
203,R203,3743,217,22,944,-40,5323,99,252,240,1837
204,R204,3036,231,30,977,79,2189,207,230,180,412
205,R205,2884,308,32,868,-27,1208,100,230,90,5683
206,R206,3370,21,24,800,1,4275,102,240,0,4461
207,R207,2141,29,35,1068,173,745,173,192,217,5052
208,R208,2394,298,25,906,-12,310,187,149,112,2095
209,R209,3208,201,10,721,86,3374,168,131,104,2094
210,R210,3117,300,36,809,148,2448,182,191,24,1831
211,R211,2316,307,6,1030,108,4958,97,146,152,4582
212,R212,2058,71,43,490,143,365,100,215,2,5398
213,R213,1967,20,37,397,92,4566,228,250,237,1670
214,R214,3815,190,36,510,240,3583,180,235,23,3621
215,R215,2685,20,20,29,184,3366,80,217,22,707
216,R216,2192,336,38,768,-7,2163,233,158,177,4254
217,R217,2815,283,1,870,1,3256,82,158,139,1683
218,R218,3699,223,11,1034,-110,1776,187,126,250,2174
219,R219,3694,285,22,660,188,5158,240,214,111,3912
220,R220,2221,216,35,1011,60,3663,180,224,148,1365
221,R221,3625,250,0,463,214,4851,114,213,227,2290
222,R222,3407,30,13,625,-48,4027,150,133,118,1635
223,R223,3800,175,13,370,139,1490,249,210,54,3543
224,R224,2353,198,12,203,213,4893,168,136,215,5608
225,R225,1986,228,26,1096,-67,3110,215,236,70,2482
226,R226,1949,57,8,461,-48,5109,167,138,126,3686
227,R227,2153,218,7,964,-92,578,210,164,228,5598
228,R228,2367,256,37,626,86,4538,81,199,54,1725
229,R229,3216,250,17,858,317,3637,126,234,127,5239
230,R230,2192,194,25,282,254,3805,220,187,221,698
231,R231,3078,331,39,740,199,3291,241,163,203,4015
232,R232,3071,32,6,1080,-13,4529,76,149,199,770
233,R233,2954,152,35,734,258,5298,195,229,129,303
234,R234,2496,55,30,6,-46,2612,85,156,157,1522
235,R235,2680,75,9,51,217,1074,120,166,24,2806
236,R236,3174,138,20,30,266,3828,142,205,202,5097
237,R237,2752,273,2,304,-39,3876,102,244,243,3955
238,R238,2782,23,27,549,-75,1861,149,170,71,3438
239,R239,2060,253,20,642,-27,3290,147,228,140,777
240,R240,3480,113,39,1027,349,2255,146,189,89,177
241,R241,3201,299,35,653,90,1396,168,190,125,4902
242,R242,2976,155,29,504,396,4462,184,179,66,2477
243,R243,2728,91,30,159,369,3521,148,245,145,3878
244,R244,3335,303,3,653,300,2923,160,188,26,3819
245,R245,2710,15,33,284,356,1486,120,208,42,5220
246,R246,3153,246,6,54,90,4730,235,233,89,3684
247,R247,1908,122,32,707,271,2458,214,244,44,3597
248,R248,2179,275,28,224,270,3670,143,235,129,4992
249,R249,2126,359,13,689,-76,4252,176,148,71,4080
250,R250,3843,78,17,1034,-99,4340,112,232,60,959
251,R251,2489,326,26,377,-78,1015,190,236,155,3339
252,R252,3638,89,11,315,395,695,223,221,145,5525
253,R253,3274,270,34,1030,21,1893,115,132,162,1421
254,R254,1903,247,2,776,37,3306,218,177,33,833
255,R255,3189,136,34,1139,276,3427,119,185,24,4361
256,R256,2097,32,14,434,29,2652,211,186,162,4245
257,R257,2273,314,20,1106,186,3715,192,158,143,5447
258,R258,2147,14,34,1049,379,3491,189,214,108,5058
259,R259,1939,218,27,1151,173,3338,133,170,20,4435
260,R260,3043,295,24,882,120,3396,111,148,242,119
261,R261,2059,149,28,740,-38,4474,221,153,231,5691
262,R262,2264,155,24,933,253,57,167,213,32,1829
263,R263,1981,22,10,1042,232,1296,239,156,246,5581
264,R264,2438,155,30,748,215,4220,70,140,103,4634
265,R265,3260,194,27,450,156,3395,147,171,4,1693
266,R266,2810,354,16,413,50,4876,128,237,27,4555
267,R267,2685,27,43,1127,119,2707,123,160,232,201
268,R268,3657,227,36,952,37,3828,117,199,72,2698
269,R269,2135,323,21,720,68,4283,78,249,33,5722
270,R270,2762,160,11,628,223,62,236,213,59,2589
271,R271,3541,237,19,555,-38,972,147,232,157,4156
272,R272,2781,46,43,649,-49,4614,83,183,25,803
273,R273,2296,91,2,1069,-62,4778,151,231,247,4650
274,R274,2228,131,15,889,37,4329,73,218,3,1628
275,R275,3678,283,25,521,53,78,145,197,153,2883
276,R276,2610,239,35,919,347,3302,251,200,235,5109
277,R277,3113,163,1,940,98,4328,188,189,85,2175
278,R278,2237,70,25,427,110,3512,214,156,2,4809
279,R279,1860,123,13,1043,-102,2253,245,224,70,790
280,R280,3751,317,7,881,389,5327,188,180,239,3182
281,R281,2301,123,24,789,108,5439,248,210,95,2420
282,R282,2534,49,7,1094,262,161,84,193,53,3618
283,R283,3030,279,0,926,200,135,97,162,110,794
284,R284,2316,328,35,116,-40,1939,201,127,35,4173
285,R285,3166,136,40,1156,340,328,230,170,103,870
286,R286,2024,247,4,406,159,2608,177,200,61,1245
287,R287,2970,348,7,585,-105,2860,102,128,48,5839
288,R288,2486,138,41,705,164,2282,97,182,171,1320
289,R289,3428,167,33,254,1,294,144,164,105,2220
290,R290,3247,236,7,496,-51,553,86,203,224,5470
291,R291,3274,241,1,942,113,1986,227,199,65,148
292,R292,3065,51,0,70,136,5099,118,221,40,2352
293,R293,1971,18,30,968,254,5456,228,187,123,980
294,R294,1902,249,19,439,26,3080,212,183,64,4287
295,R295,3021,171,8,121,310,5031,218,217,100,4907
296,R296,2477,245,31,138,161,255,115,237,100,2231
297,R297,2690,325,36,652,276,4327,203,167,62,3333
298,R298,1998,347,17,597,374,4169,149,157,65,4332
299,R299,3364,200,2,457,262,4446,207,178,150,2367
300,R300,2497,347,32,361,354,2625,167,201,146,5261
301,R301,2734,270,3,216,50,4578,111,233,58,4644
302,R302,3434,44,14,505,100,3998,185,174,232,5224
303,R303,2282,333,41,471,70,1751,93,201,10,3778
304,R304,2712,327,13,155,80,4913,254,135,85,3893
305,R305,1883,314,5,470,37,1823,174,171,172,3016
306,R306,2591,163,8,156,-60,4779,216,202,81,4484
307,R307,3557,249,34,536,239,4942,181,229,178,222
308,R308,2707,276,22,17,22,2249,178,168,207,2423
309,R309,2729,2,38,1159,360,3089,246,131,128,2552
310,R310,3437,180,32,520,306,2698,172,189,146,409
311,R311,3182,258,30,217,174,2303,243,179,219,415
312,R312,1914,197,16,1190,283,651,227,156,205,1611
313,R313,2673,138,29,122,366,673,95,217,228,4957
314,R314,2076,152,23,1046,50,3498,236,161,132,5147
315,R315,3404,7,14,622,251,4335,137,212,130,4611
316,R316,3698,6,38,1064,162,373,251,233,176,288
317,R317,3461,153,33,296,294,2739,88,165,5,3527
318,R318,2874,249,1,258,201,4463,245,174,248,629
319,R319,1976,274,4,291,223,323,88,253,122,1154
320,R320,2794,139,16,690,110,2495,220,179,123,3015
321,R321,3039,195,24,1084,-94,4298,219,244,234,4399
322,R322,2397,301,29,718,-86,961,156,163,28,5532
323,R323,3115,250,26,971,7,4403,189,184,185,4791
324,R324,3212,74,25,1109,362,3527,121,176,207,1759
325,R325,2690,341,36,414,97,1896,210,228,197,3864
326,R326,3751,359,14,323,91,2633,99,231,59,716
327,R327,3647,230,19,414,43,2355,232,169,237,621
328,R328,2611,236,11,876,134,1566,113,151,83,3332
329,R329,2984,195,19,782,382,2184,119,237,50,3487
330,R330,2464,75,43,684,333,3827,201,161,116,274
331,R331,3214,211,1,116,131,3320,125,232,69,2683
332,R332,3356,69,38,1205,26,217,88,229,246,5299
333,R333,3844,46,8,326,211,1109,194,213,100,4831
334,R334,3771,233,31,493,56,5425,148,170,68,5476
335,R335,3267,171,34,344,-108,611,204,182,8,2414
336,R336,3550,117,30,879,197,682,218,214,16,2609
337,R337,3108,75,26,760,136,3612,204,159,235,3408
338,R338,3080,187,12,924,-30,145,246,204,64,4152
339,R339,2590,128,35,918,250,5168,219,171,235,4980
340,R340,2503,217,21,1216,329,4431,136,189,77,5658
341,R341,2323,287,7,728,52,114,118,244,240,3371
342,R342,2617,329,30,686,313,3341,253,159,68,2514
343,R343,3159,178,22,1000,269,153,196,161,236,1194
344,R344,3168,75,10,1055,136,4990,175,204,134,1086
345,R345,2893,213,19,303,73,940,167,136,39,1914
346,R346,3342,147,1,1182,384,4668,243,175,62,3819
347,R347,2266,248,29,1132,-53,3781,108,230,66,4889
348,R348,2679,117,6,807,-71,1542,86,174,81,4465
349,R349,3765,325,9,895,295,1336,105,196,43,5202
350,R350,3014,303,25,254,315,4064,118,181,5,2737
351,R351,3848,257,22,991,72,4197,221,202,170,5284
352,R352,2387,312,13,414,239,1149,230,183,201,5192
353,R353,3280,217,29,624,-42,2052,219,239,116,4288
354,R354,2835,147,5,704,0,5319,172,200,27,4971
355,R355,2254,57,35,968,296,946,164,191,215,2669
356,R356,1931,74,0,44,228,2155,126,172,170,1824
357,R357,3394,243,20,376,333,632,195,127,96,2016
358,R358,2113,195,33,456,416,4273,252,224,15,1313
359,R359,3723,22,33,1063,330,3555,133,231,178,5354
360,R360,2422,267,10,1001,113,4376,159,174,101,5858
361,R361,3388,168,8,189,96,2308,243,151,241,5180
362,R362,3029,32,6,175,181,1126,196,177,37,646
363,R363,3275,175,20,1112,290,1397,191,192,142,2944
364,R364,3687,21,19,230,360,2797,77,126,205,2272
365,R365,1880,193,10,235,408,3528,73,159,100,3636
366,R366,3817,359,19,927,83,1354,129,236,124,3287
367,R367,3473,28,21,630,-101,1782,152,144,134,3970
368,R368,3058,19,12,104,56,1919,209,190,55,4026
369,R369,3272,0,35,583,125,1177,214,220,60,2983
370,R370,2375,96,24,234,164,1186,173,184,116,1730
371,R371,2947,172,24,631,159,4050,170,251,40,4220
372,R372,3161,23,35,203,298,717,88,148,118,4594
373,R373,2016,119,22,961,97,2239,152,238,199,2901
374,R374,2900,149,33,299,-62,556,177,133,7,3107
375,R375,1920,70,22,493,163,3446,120,138,16,2296
376,R376,3122,293,13,399,421,1661,178,201,59,3912
377,R377,2842,280,14,1128,335,2288,75,142,120,348
378,R378,2311,302,22,1132,-31,1090,96,184,118,4369
379,R379,2547,59,22,893,-69,4751,132,169,157,1143
380,R380,3340,234,31,1191,-72,5041,155,215,57,2497
381,R381,3809,44,13,389,139,1153,177,242,1,1735
382,R382,2752,183,0,877,-52,471,112,176,65,2794
383,R383,3337,213,28,663,397,688,109,219,203,3956
384,R384,2136,243,8,485,110,3408,187,202,65,1867
385,R385,3379,27,22,758,81,4184,211,170,223,1829
386,R386,1927,354,3,551,249,4397,118,230,225,763
387,R387,2933,326,16,1200,347,2368,88,142,148,398
388,R388,3387,209,29,86,-83,886,213,137,177,5453
389,R389,2468,322,0,1091,315,5100,243,195,29,3230
390,R390,3329,61,7,214,214,1364,167,199,53,3059
391,R391,2056,346,14,641,-115,3029,75,229,80,374
392,R392,2057,253,0,642,75,943,231,174,206,4576
393,R393,2059,114,17,1074,186,2512,223,241,132,321
394,R394,2319,307,20,663,121,1052,144,152,222,2835
395,R395,2682,101,41,340,13,4715,133,172,8,4281
396,R396,2202,182,19,188,279,1449,219,129,158,1717
397,R397,3001,344,20,661,209,4639,245,207,204,2570
398,R398,3450,48,40,254,-21,2010,108,204,125,820
399,R399,2827,91,36,1168,144,5142,143,234,226,5025
400,R400,3083,299,41,74,-71,3431,100,221,110,3860
401,R401,3720,199,2,293,351,1667,158,186,133,1456
402,R402,2435,112,21,832,327,5002,114,216,227,370
403,R403,2027,149,16,512,231,4721,214,237,119,5301
404,R404,2861,1,24,998,139,902,242,141,201,3104
405,R405,3693,86,3,430,-34,1945,239,203,140,1089
406,R406,3407,282,43,389,-110,415,225,180,114,587
407,R407,1920,161,38,128,137,1766,113,147,211,5578
408,R408,2262,143,24,581,185,358,113,133,152,4695
409,R409,3630,217,9,29,371,2016,213,169,179,4065
410,R410,2951,238,24,1212,-16,3375,178,127,222,2178
411,R411,3119,107,35,233,92,2877,181,163,122,3706
412,R412,2013,130,13,855,230,592,240,183,62,298
413,R413,3162,230,7,1096,-67,562,97,253,170,1116
414,R414,2183,220,12,245,228,2579,243,240,189,5375
415,R415,2950,26,15,544,73,2901,84,158,142,3531
416,R416,3603,319,28,387,33,1113,251,231,204,4546
417,R417,3681,1,33,1006,143,5374,107,128,32,5420
418,R418,3591,84,39,319,373,2511,237,177,248,1967
419,R419,2383,99,11,26,16,5340,73,235,17,916
420,R420,3795,262,31,420,77,849,209,209,128,5154
421,R421,2480,63,25,964,395,275,133,226,250,745
422,R422,1968,64,6,1116,346,3934,207,199,42,1976
423,R423,3177,189,18,1162,366,3359,99,183,129,5419
424,R424,1978,3,20,709,347,4256,199,140,107,1132
425,R425,3386,115,22,25,178,4319,78,242,150,5534
426,R426,2300,351,26,577,211,3441,210,238,208,3928
427,R427,2428,192,0,569,-102,4388,99,180,126,4232
428,R428,3202,38,37,447,393,1015,224,175,117,2569
429,R429,2980,44,10,648,285,666,211,139,176,3802
430,R430,3428,230,26,874,322,3286,174,177,120,4359
431,R431,2080,172,23,438,228,309,233,230,38,457
432,R432,2027,131,18,590,238,3468,147,176,60,5140
433,R433,3366,244,21,879,184,2497,249,223,37,3976
434,R434,2234,101,38,769,73,3270,99,247,118,1416
435,R435,2204,44,31,1036,58,5354,128,156,91,4997
436,R436,3051,156,8,695,-17,1433,188,234,9,2344
437,R437,3818,150,43,910,-112,2923,237,219,19,4892
438,R438,2174,17,34,1089,20,414,161,254,204,5324
439,R439,2396,181,19,613,182,1158,215,153,201,5796
440,R440,3254,252,41,913,236,5429,132,135,166,5415
441,R441,2673,181,14,1060,245,2823,204,150,217,4634
442,R442,3815,186,40,921,-4,1010,208,161,25,2248
443,R443,3026,82,35,261,204,960,181,210,170,5021
444,R444,3735,81,6,377,155,5226,254,138,60,2292
445,R445,3184,257,31,1140,-59,1078,179,189,215,4565
446,R446,2720,220,32,397,367,2202,142,202,236,3856
447,R447,3602,325,15,515,155,3910,153,213,29,4624
448,R448,3787,223,42,370,52,3923,158,171,237,809
449,R449,2816,3,42,720,197,4228,88,235,211,1715
450,R450,2221,85,32,1133,-78,842,90,220,41,4255
451,R451,2048,320,43,932,282,645,200,219,74,5690
452,R452,2848,135,36,832,-115,2433,103,147,47,4753
453,R453,2171,69,20,931,77,1830,158,127,65,1696
454,R454,3120,20,22,227,59,1474,94,250,79,231
455,R455,3586,26,19,457,74,1757,183,233,235,4197
456,R456,2885,359,30,1103,408,720,106,174,56,3422
457,R457,2410,307,14,297,304,1984,153,238,150,4601
458,R458,2344,313,33,1033,299,3332,220,162,238,2177
459,R459,3371,40,17,766,356,4833,91,182,45,4323
460,R460,3692,43,0,1137,119,3123,230,228,146,4766
461,R461,1900,129,43,763,194,129,193,248,208,4241
462,R462,3719,168,2,21,-77,1489,157,133,57,4018
463,R463,3209,193,27,993,247,2260,240,173,195,5153
464,R464,2604,91,3,1197,397,2463,119,179,221,1911
465,R465,2585,313,8,1173,360,4590,98,136,86,1340
466,R466,3716,280,39,1128,239,4748,146,158,172,4180
467,R467,3491,173,11,525,-104,2067,163,210,100,5646
468,R468,2008,324,40,711,-97,2726,82,138,192,3865
469,R469,3305,183,20,1025,64,3112,209,159,75,2945
470,R470,3474,116,14,396,89,2033,128,172,224,974
471,R471,1938,110,18,646,237,647,163,133,81,4888
472,R472,2142,296,40,437,130,3175,151,233,226,2598
473,R473,2197,301,5,47,412,1122,166,212,156,5359
474,R474,3170,334,23,1036,161,3369,89,146,48,1549
475,R475,2817,15,10,383,390,2314,103,147,78,741
476,R476,3020,321,32,692,18,2453,146,207,32,5068
477,R477,2674,295,22,811,96,2616,207,183,155,5209
478,R478,3149,239,9,665,299,3180,157,197,119,969
479,R479,3718,103,6,741,50,907,225,248,243,3896
480,R480,3534,47,25,652,94,2139,168,165,170,461
481,R481,3057,20,33,767,136,1584,176,153,168,1682
482,R482,3338,223,43,273,-62,3201,234,206,145,4836
483,R483,2615,121,37,1139,315,2866,81,210,161,1532
484,R484,2572,356,34,258,366,1613,173,142,121,1606
485,R485,2793,30,42,1148,310,3134,201,253,38,5535
486,R486,3171,70,24,371,198,535,163,140,152,2681
487,R487,2060,269,39,248,289,83,82,216,41,5467
488,R488,2373,153,26,546,28,3070,75,193,210,3538
489,R489,3652,155,7,608,375,1594,116,164,44,3439
490,R490,3340,175,38,189,6,2647,159,187,177,485
